controlId,title,family,description
D1-CRMO-01-Oversight,Governance - Oversight (Baseline) - 1,Oversight,"┬áDesignated members of management are held accountable by the board or an appropriate board committee for implementing and managing the information security and business continuity programs. (FFIEC Information Security Booklet, page 3)┬á"
D1-CRMO-02-Oversight,Governance - Oversight (Baseline) - 2,Oversight,"Information security risks are discussed in management meetings when prompted by highly visible cyber events or regulatory alerts. (FFIEC Information Security Booklet, page 6)┬á"
D1-CRMO-03-Oversight,Governance - Oversight (Baseline) - 3,Oversight,"Management provides a written report on the overall status of the information security and business continuity programs to the board or an appropriate board committee at least annually. (FFIEC Information Security Booklet, page 5)┬á"
D1-CRMO-04-Oversight,Governance - Oversight (Baseline) - 4,Oversight,"The budgeting process includes information security related expenses and tools. (FFIEC E-Banking Booklet, page 20)┬á"
D1-CRMO-05-Oversight,Governance - Oversight (Baseline) - 5,Oversight,"Management considers the risks posed by other critical infrastructures (e.g., telecommunications, energy) to the institution. (FFIEC Business Continuity Planning Booklet, page J-12)"
D1-CRMO-06-Oversight,Governance - Oversight (Evolving) - 6,Oversight,"At least annually, the board or an appropriate board committee reviews and approves the institutionΓÇÖs cybersecurity program.┬á"
D1-CRMO-07-Oversight,Governance - Oversight (Evolving) - 7,Oversight,Management is responsible for ensuring compliance with legal and regulatory requirements related to cybersecurity.┬á
D1-CRMO-08-Oversight,Governance - Oversight (Evolving) - 8,Oversight,Cybersecurity tools and staff are requested through the budget process.┬á
D1-CRMO-09-Oversight,Governance - Oversight (Evolving) - 9,Oversight,There is a process to formally discuss and estimate potential expenses associated with cybersecurity incidents as part of the budgeting process.┬á
D1-CRMO-10-Oversight,Governance - Oversight (Intermediate) - 10,Oversight,The board or an appropriate board committee has cybersecurity expertise or engages experts to assist with oversight responsibilities.┬á
D1-CRMO-11-Oversight,Governance - Oversight (Intermediate) - 11,Oversight,The standard board meeting package includes reports and metrics that go beyond events and incidents to address threat intelligence trends and the institutionΓÇÖs security posture.┬á
D1-CRMO-12-Oversight,Governance - Oversight (Intermediate) - 12,Oversight,The institution has a cyber risk appetite statement approved by the board or an appropriate board committee.┬á
D1-CRMO-13-Oversight,Governance - Oversight (Intermediate) - 13,Oversight,Cyber risks that exceed the risk appetite are escalated to management.┬á
D1-CRMO-14-Oversight,Governance - Oversight (Intermediate) - 14,Oversight,The board or an appropriate board committee ensures managementΓÇÖs annual cybersecurity self-assessment evaluates the institutionΓÇÖs ability to meet its cyber risk management standards.
D1-CRMO-15-Oversight,Governance - Oversight (Intermediate) - 15,Oversight,The board or an appropriate board committee reviews and approves managementΓÇÖs prioritization and resource allocation decisions based on the results of the cyber assessments.┬á
D1-CRMO-16-Oversight,Governance - Oversight (Intermediate) - 16,Oversight,The board or an appropriate board committee ensures management takes appropriate actions to address changing cyber risks or significant cybersecurity issues.┬á
D1-CRMO-17-Oversight,Governance - Oversight (Intermediate) - 17,Oversight,The budget process for requesting additional cybersecurity staff and tools is integrated into business unitsΓÇÖ budget processes.┬á
D1-CRMO-18-Oversight,Governance - Oversight (Advanced) - 18,Oversight,The board or board committee approved cyber risk appetite statement is part of the enterprise-wide risk appetite statement.┬á
D1-CRMO-19-Oversight,Governance - Oversight (Advanced) - 19,Oversight,Management has a formal process to continuously improve cybersecurity oversight.┬á
D1-CRMO-20-Oversight,Governance - Oversight (Advanced) - 20,Oversight,The budget process for requesting additional cybersecurity staff and tools maps current resources and tools to the cybersecurity strategy.┬á
D1-CRMO-21-Oversight,Governance - Oversight (Advanced) - 21,Oversight,Management and the board or an appropriate board committee hold business units accountable for effectively managing all cyber risks associated with their activities.┬á
