"control_id","title","family","control_type","sortId","uuid","description"
"AC-2(1)","AC-02(01) - Automated System Account Management","Access Control","","ac-02.01","b58c541e-806a-40bd-8049-292ccfb84b85","Support the management of system accounts using {{ insert: param, AC-2(1) }}.GuidanceAutomated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, telephonic, and text messaging notifications."
"AC-2(2)","AC-02(02) - Automated Temporary and Emergency Account Management","Access Control","","ac-02.02","4cab31cd-fee4-435c-87dc-97c4d8094c56","Automatically {{ insert: param, AC-2(2)-1 }} temporary and emergency accounts after {{ insert: param, AC-2(2)-2 }}.GuidanceManagement of temporary and emergency accounts includes the removal or disabling of such accounts automatically after a predefined time period rather than at the convenience of the system administrator. Automatic removal or disabling of accounts provides a more consistent implementation."
"AC-2(3)","AC-02(03) - Disable Accounts","Access Control","","ac-02.03","c02a06c4-3291-4886-8835-b66b8a8a94c1","Disable accounts within {{ insert: param, AC-2(3) }} when the accounts:(a) Have expired;(b) Are no longer associated with a user or individual;(c) Are in violation of organizational policy; or(d) Have been inactive for {{ insert: param, AC-2(3)(d) }}.GuidanceDisabling expired, inactive, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system.AC-2 (3) Additional FedRAMP Requirements and Guidance<b>Guidance:</b> For DoD clouds, see DoD cloud website for specific DoD requirements that go above and beyond FedRAMP https://public.cyber.mil/dccs/.<b>Requirement:</b> The service provider defines the time period for non-user accounts (e.g., accounts associated with devices). The time periods are approved and accepted by the JAB/AO. Where user management is a function of the service, reports of activity of consumer users shall be made available.<b>(d) Requirement:</b> The service provider defines the time period of inactivity for device identifiers."
"AC-2(4)","AC-02(04) - Automated Audit Actions","Access Control","","ac-02.04","16b95f51-c554-4601-a4d2-4715ad473fbf","Automatically audit account creation, modification, enabling, disabling, and removal actions.GuidanceAccount management audit records are defined in accordance with <a href=""#au-2"">AU-2</a> and reviewed, analyzed, and reported in accordance with <a href=""#au-6"">AU-6</a>."
"AC-2(5)","AC-02(05) - Inactivity Logout","Access Control","","ac-02.05","5b78f322-e357-4306-8441-00258188fb0c","Require that users log out when {{ insert: param, AC-2(5) }}.GuidanceInactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period. Automatic enforcement of inactivity logout is addressed by <a href=""#ac-11"">AC-11</a>.AC-2 (5) Additional FedRAMP Requirements and Guidance<b>Guidance:</b> Should use a shorter timeframe than AC-12."
"AC-2(7)","AC-02(07) - Privileged User Accounts","Access Control","","ac-02.07","3469bb1b-ba2e-48c2-83c9-ee6b7ca9d538","(a) Establish and administer privileged user accounts in accordance with {{ insert: param, AC-2(7)(a) }};(b) Monitor privileged role or attribute assignments;(c) Monitor changes to roles or attributes; and(d) Revoke access when privileged role or attribute assignments are no longer appropriate.GuidancePrivileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. Privileged roles include key management, account management, database administration, system and network administration, and web administration. A role-based access scheme organizes permitted system access and privileges into roles. In contrast, an attribute-based access scheme specifies allowed system access and privileges based on attributes."
"AC-2(9)","AC-02(09) - Restrictions on Use of Shared and Group Accounts","Access Control","","ac-02.09","f666bfbc-7134-4bcd-84ef-8b78f01ce085","Only permit the use of shared and group accounts that meet {{ insert: param, AC-2(9) }}.GuidanceBefore permitting the use of shared or group accounts, organizations consider the increased risk due to the lack of accountability with such accounts.AC-2 (9) Additional FedRAMP Requirements and Guidance<b>Requirement:</b> Required if shared/group accounts are deployed."
"AC-2(12)","AC-02(12) - Account Monitoring for Atypical Usage","Access Control","","ac-02.12","9f8ca627-9852-429d-86f7-602b326339c5","(a) Monitor system accounts for {{ insert: param, AC-2(12)(a) }} ; and(b) Report atypical usage of system accounts to {{ insert: param, AC-2(12)(b) }}.GuidanceAtypical usage includes accessing systems at certain times of the day or from locations that are not consistent with the normal usage patterns of individuals. Monitoring for atypical usage may reveal rogue behavior by individuals or an attack in progress. Account monitoring may inadvertently create privacy risks since data collected to identify atypical usage may reveal previously unknown information about the behavior of individuals. Organizations assess and document privacy risks from monitoring accounts for atypical usage in their privacy impact assessment and make determinations that are in alignment with their privacy program plan.AC-2 (12) Additional FedRAMP Requirements and Guidance<b>(a) Requirement:</b> Required for privileged accounts.<b>(b) Requirement:</b> Required for privileged accounts."
"AC-2(13)","AC-02(13) - Disable Accounts for High-risk Individuals","Access Control","","ac-02.13","b710c3aa-b219-462f-a32e-a81188b145dd","Disable accounts of individuals within {{ insert: param, AC-2(13)-1 }} of discovery of {{ insert: param, AC-2(13)-2 }}.GuidanceUsers who pose a significant security and/or privacy risk include individuals for whom reliable evidence indicates either the intention to use authorized access to systems to cause harm or through whom adversaries will cause harm. Such harm includes adverse impacts to organizational operations, organizational assets, individuals, other organizations, or the Nation. Close coordination among system administrators, legal staff, human resource managers, and authorizing officials is essential when disabling system accounts for high-risk individuals."
"AC-4","AC-04 - Information Flow Enforcement","Access Control","","ac-04","64741aa1-dffd-4894-9ccc-7c3c083e1c4b","Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on {{ insert: param, AC-4 }}.GuidanceInformation flow control regulates where information can travel within a system and between systems (in contrast to who is allowed to access the information) and without regard to subsequent accesses to that information. Flow control restrictions include blocking external traffic that claims to be from within the organization, keeping export-controlled information from being transmitted in the clear to the Internet, restricting web requests that are not from the internal web proxy server, and limiting information transfers between organizations based on data structures and content. Transferring information between organizations may require an agreement specifying how the information flow is enforced (see <a href=""#ca-3"">CA-3</a> ). Transferring information between systems in different security or privacy domains with different security or privacy policies introduces the risk that such transfers violate one or more domain security or privacy policies. In such situations, information owners/stewards provide guidance at designated policy enforcement points between connected systems. Organizations consider mandating specific architectural solutions to enforce specific security and privacy policies. Enforcement includes prohibiting information transfers between connected systems (i.e., allowing access only), verifying write permissions before accepting information from another security or privacy domain or connected system, employing hardware mechanisms to enforce one-way information flows, and implementing trustworthy regrading mechanisms to reassign security or privacy attributes and labels.Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations within systems and between connected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices that employ rule sets or establish configuration settings that restrict system services, provide a packet-filtering capability based on header information, or provide a message-filtering capability based on message content. Organizations also consider the trustworthiness of filtering and/or inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. Control enhancements 3 through 32 primarily address cross-domain solution needs that focus on more advanced filtering techniques, in-depth analysis, and stronger flow enforcement mechanisms implemented in cross-domain products, such as high-assurance guards. Such capabilities are generally not available in commercial off-the-shelf products. Information flow enforcement also applies to control plane traffic (e.g., routing and DNS)."
