FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,GRC Toolkit Controls Requirement Title,Target ID #,GRC Toolkit Controls Requirement Description,Notes
ASSET-1a,"IT and OT assets that are important to the delivery of the function are inventoried, at least in an ad hoc manner","Assets derive their value and importance through their association with the aspects of the function's operations that they support. Identifying and inventorying high-value IT and OT assets helps enable selection and application of appropriate controls. At MIL1, the inventory may be produced in an ad hoc manner. Organizations should consider the different kinds of IT and OT assets that may be within the scope of the self-evaluation, such as: · virtualized assets · regulated assets · assets man...",medium,functional,"C2M2 ASSET-1a requires Assets derive their value and importance through their association with the aspects of the function's operations that they support. Identifying and inventorying high-value IT an.... GRC Toolkit Controls TDA-17 requires Mechanisms exist to prevent unsupported Technology Assets, Applications and/or Services (TAAS) by: (1) Removing and/or replacing TAAS when support for the components is no longe.... Both address audit and monitoring. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,"Unsupported Technology Assets, Applications and/or Services (TAAS)",TDA-17,"Mechanisms exist to prevent unsupported Technology Assets, Applications and/or Services (TAAS) by: (1) Removing and/or replacing TAAS when support for the components is no longer available from the developer, vendor or manufacturer; and (2) Requiring justification and documented approval for the continued use of unsupported TAAS required to satisfy mission/business needs.","Shared scope: audit and monitoring; third-party management. C2M2 additionally includes function, aspects, asset; GRC Toolkit Controls emphasizes taas, technology, unsupported."
ASSET-1b,The IT and OT asset inventory includes assets within the function that may be leveraged to achieve a threat objective,"Assets within the function are those that the organization considers as the potential target of the tactics or goals of a threat actor. When considering assets that should be given this designation it is helpful to consider assets that a threat actor might use to accomplish their end-goal, such as · public-facing assets that may serve as an initial access point · individual assets that would allow lateral movement within an organization’s network · assets with administrative rights that would...",medium,functional,"C2M2 ASSET-1b requires Assets within the function are those that the organization considers as the potential target of the tactics or goals of a threat actor. When considering assets that should be gi.... GRC Toolkit Controls AST-02 requires Mechanisms exist to perform inventories of Technology Assets, Applications, Services and/or Data (TAASD) that: (1) Accurately reflects the current TAASD in use; (2) Identifies a.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Asset Inventories,AST-02,"Mechanisms exist to perform inventories of Technology Assets, Applications, Services and/or Data (TAASD) that: (1) Accurately reflects the current TAASD in use; (2) Identifies authorized software products, including business justification details; (3) Is at the level of granularity deemed necessary for tracking and reporting; (4) Includes organization-defined information deemed necessary to achieve effective property accountability; and (5) Is available for review and audit by designated orga...","Overlap: access control; incident response. Divergence: C2M2 emphasizes function, threat, actor; GRC Toolkit Controls emphasizes deemed, inventories, necessary."
ASSET-1c,Inventoried IT and OT assets are prioritized based on defined criteria that include importance to the delivery of the function,"Prioritization of assets is important for many cybersecurity and operational activities, such as incident response, risk management, threat management, and cybersecurity architecture planning. There are multiple approaches for asset prioritization: forced ranking (sequential list), tiered ranking (e.g., all assets dealing with the flow of gas are tier 1, assets related to efficiency and monitoring are tier 2, and non-critical functions such as public relations and marketing are tier 3). Tiers...",medium,functional,"C2M2 ASSET-1c requires Prioritization of assets is important for many cybersecurity and operational activities, such as incident response, risk management, threat management, and cybersecurity archite.... GRC Toolkit Controls IRO-02.6 requires Mechanisms exist to automatically disable Technology Assets, Applications and/or Services (TAAS), upon detection of a possible incident that meets organizational criteria, which.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,"Automatic Disabling of Technology Assets, Applications and/or Services (TAAS)",IRO-02.6,"Mechanisms exist to automatically disable Technology Assets, Applications and/or Services (TAAS), upon detection of a possible incident that meets organizational criteria, which allows for forensic analysis to be performed.","Overlap: incident response; audit and monitoring. Divergence: C2M2 emphasizes management, activities, architecture; GRC Toolkit Controls emphasizes applications, services, taas."
ASSET-1d,Prioritization criteria include consideration of the degree to which an asset within the function may be leveraged to achieve a threat objective,"The possibility of an asset being leveraged to achieve a threat objective is added to the criteria for prioritizing IT and OT assets. It is important to consider that a threat actor may have multiple objectives and that those objectives may change over time or in different situations. Including additional criteria beyond those that are used for assets that are important to the delivery of the function will enable a more comprehensive prioritization of the risks to, and impacts associated with...",medium,functional,"C2M2 ASSET-1d requires The possibility of an asset being leveraged to achieve a threat objective is added to the criteria for prioritizing IT and OT assets. It is important to consider that a threat a.... GRC Toolkit Controls RSK-02.1 requires Mechanisms exist to prioritize the impact level for Technology Assets, Applications and/or Services (TAAS) to prevent potential disruptions.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Impact-Level Prioritization,RSK-02.1,"Mechanisms exist to prioritize the impact level for Technology Assets, Applications and/or Services (TAAS) to prevent potential disruptions.","Overlap: risk management. Divergence: C2M2 emphasizes asset, achieve, criteria; GRC Toolkit Controls emphasizes applications, disruptions, exist."
ASSET-1e,"The IT and OT inventory includes attributes that support cybersecurity activities (for example, location, asset priority, asset owner, operating system, and firmware versions)","Inventory attributes are details about assets that are included in asset inventories to enable management and consistent use of the assets. Including necessary information about assets to support cybersecurity program activities helps ensure that that information is available during periods of operational stress and does not have to be collected while in a state of crisis. For example, incident responders will be able to easily identify the priority, criticality, and location of machines that...",medium,functional,"C2M2 ASSET-1e requires Inventory attributes are details about assets that are included in asset inventories to enable management and consistent use of the assets. Including necessary information about.... GRC Toolkit Controls MON-02.9 requires Mechanisms exist to maintain a current and accurate inventory of technology-related Technology Assets, Applications and/or Services (TAAS) being logged.. Both address incident response. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Inventory of Technology Asset Event Logging,MON-02.9,"Mechanisms exist to maintain a current and accurate inventory of technology-related Technology Assets, Applications and/or Services (TAAS) being logged.","Shared scope: incident response. C2M2 additionally includes attributes, about, activities; GRC Toolkit Controls emphasizes technology, accurate, applications."
ASSET-1f,The IT and OT asset inventory is complete (the inventory includes all assets within the function),"This practice expands the inventory scope of ASSET-1a. Any IT and OT asset that is related to the delivery of the function should be identified and inventoried, along with its attributes. The relationship of assets to business functions should also be included to enable prioritization and development of protection and sustainment strategies. The implementation of the inventory should be proportional to the organization’s size, complexity, and risk. For example, for a small, low-complexity fir...",medium,functional,"C2M2 ASSET-1f requires This practice expands the inventory scope of ASSET-1a. Any IT and OT asset that is related to the delivery of the function should be identified and inventoried, along with its a.... GRC Toolkit Controls AST-04.1 requires Mechanisms exist to determine cybersecurity and data protection control applicability by identifying, assigning and documenting the appropriate asset scope categorization for al.... Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Asset Scope Classification,AST-04.1,"Mechanisms exist to determine cybersecurity and data protection control applicability by identifying, assigning and documenting the appropriate asset scope categorization for all Technology Assets, Applications and/or Services (TAAS) and personnel (internal and third-parties).","Overlap: audit and monitoring; data protection. Divergence: C2M2 emphasizes inventory, asset-1a, complete; GRC Toolkit Controls emphasizes applicability, applications, appropriate."
ASSET-1g,"The IT and OT asset inventory is current, that is, it is updated periodically and according to defined triggers, such as system changes","The inventory of assets and significant components should be updated and maintained as assets change throughout their lifecycle to ensure the inventory is complete and accurate. Ensuring that the asset inventory is current might involve change management procedures that require inventory updates any time assets are swapped out or significantly altered. The organization might also conduct inventory reviews, both periodically (such as quarterly or yearly) and based on events (such as changes in...",medium,functional,"C2M2 ASSET-1g requires The inventory of assets and significant components should be updated and maintained as assets change throughout their lifecycle to ensure the inventory is complete and accurate..... GRC Toolkit Controls MON-02.9 requires Mechanisms exist to maintain a current and accurate inventory of technology-related Technology Assets, Applications and/or Services (TAAS) being logged.. Both address incident response. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Inventory of Technology Asset Event Logging,MON-02.9,"Mechanisms exist to maintain a current and accurate inventory of technology-related Technology Assets, Applications and/or Services (TAAS) being logged.","Shared scope: incident response; audit and monitoring. C2M2 additionally includes updated, according, change; GRC Toolkit Controls emphasizes technology, applications, being."
ASSET-1h,Data is destroyed or securely removed from IT and OT assets prior to redeployment and at end of life,"Data is permanently removed (that is, deleted in a way that makes data recovery impossible) from IT assets (computers, scanners, copiers, printers, etc.) and OT assets before they are reused or released for disposal. Selection of data removal and destruction techniques should be commensurate with the organization’s cybersecurity requirements. Data removal techniques, including clearing, purging, cryptographic erase, de-identification of personally identifiable information, and destruction, pr...",medium,functional,"C2M2 ASSET-1h requires Data is permanently removed (that is, deleted in a way that makes data recovery impossible) from IT assets (computers, scanners, copiers, printers, etc.) and OT assets before th.... GRC Toolkit Controls GOV-15.4 requires Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each Technology Asset, Application and/or Service (TAAS) under their cont.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,"Authorize Technology Assets, Applications and/or Services (TAAS)",GOV-15.4,"Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each Technology Asset, Application and/or Service (TAAS) under their control.","Overlap: access control; data protection. Divergence: C2M2 emphasizes removed, computers, copiers; GRC Toolkit Controls emphasizes taas, technology, application."
ASSET-2a,"Information assets that are important to the delivery of the function (for example, SCADA set points and customer information) are inventoried, at least in an ad hoc manner","Assets derive their value and importance through their association with the aspects of the function's operations that they support. Identifying and inventorying high-value information assets helps enable selection and application of appropriate controls. High-value assets may also include information assets that may create financial, regulatory, or liability risks, such as PII, sensitive operational information, and confidential business information. Organizations should consider the differen...",medium,functional,"C2M2 ASSET-2a requires Assets derive their value and importance through their association with the aspects of the function's operations that they support. Identifying and inventorying high-value infor.... GRC Toolkit Controls TPM-04.1 requires Mechanisms exist to conduct a risk assessment prior to the acquisition or outsourcing of technology-related Technology Assets, Applications and/or Services (TAAS).. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Third-Party Risk Assessments & Approvals,TPM-04.1,"Mechanisms exist to conduct a risk assessment prior to the acquisition or outsourcing of technology-related Technology Assets, Applications and/or Services (TAAS).","Overlap: risk management; third-party management. Divergence: C2M2 emphasizes function, aspects, asset; GRC Toolkit Controls emphasizes risk, third-party, acquisition."
ASSET-2b,The information asset inventory includes information assets within the function that may be leveraged to achieve a threat objective,These are assets that may be used in the pursuit of the tactics or goals of a threat actor. It is important to consider that a threat actor may have multiple objectives and that those objectives may change over time or in different situations. Achievement of a threat objective may not cause immediate harm to an organization but would increase the likelihood of the realization of a cyber risk. Identification of assets within the function that may be leveraged to achieve a threat objective shou...,medium,functional,C2M2 ASSET-2b requires These are assets that may be used in the pursuit of the tactics or goals of a threat actor. It is important to consider that a threat actor may have multiple objectives and that.... GRC Toolkit Controls THR-04 requires Mechanisms exist to implement an insider threat program that includes a cross-discipline insider threat incident handling team.. Both address risk management. C2M2 covers broader scope than GRC Toolkit Controls.,superset_of,6,Insider Threat Program,THR-04,Mechanisms exist to implement an insider threat program that includes a cross-discipline insider threat incident handling team.,"Shared scope: risk management. C2M2 additionally includes asset, assets, achieve; GRC Toolkit Controls emphasizes insider, cross-discipline, exist."
