NIST IR 8477-Based Set Theory Relationship Mapping (STRM),,,,,,Focal Document:,HIPAA,,,,
Target Document:,CJIS Security Policy,,,,,Focal Document URL:,https://www.hhs.gov/hipaa/for-professionals/security/guidance/cybersecurity/index.html,,,,
,,,,,,,,,,,,
FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,CJIS Control Title,Target ID #,CJIS Control Description,Notes
164.306(a),Ensure Confidentiality Integrity and Availability,Covered entities must ensure the CIA of all electronic protected health information and protect against reasonably anticipated threats.,high,semantic,"HIPAA 164.306(a) requires covered entities to ensure confidentiality, integrity, and availability of all ePHI and protect against anticipated threats. CJIS 5.17.PL-8 requires development of security and privacy architectures that describe requirements and approaches for protecting CIA of organizational information. Both mandate a foundational organizational commitment to CIA principles for sensitive information.",intersects_with,4,5.17.PL-8 Security And Privacy Architectures,5.17.PL-8,Develop security and privacy architectures for the system that describe the requirements and approach to be taken for protecting the confidentiality integrity and availability of organizational information.,"HIPAA covers ePHI broadly; CJIS covers CJI. Both establish CIA as the foundational security objective. HIPAA additionally covers patient health information in all forms; CJIS additionally covers criminal justice information in law enforcement contexts."
164.306(a),Ensure Confidentiality Integrity and Availability,Covered entities must ensure the CIA of all electronic protected health information and protect against reasonably anticipated threats.,high,semantic,"HIPAA 164.306(a) requires protection against reasonably anticipated threats to ePHI security. CJIS 5.19.RA-3 requires conducting a risk assessment identifying threats and vulnerabilities and determining likelihood and magnitude of harm. Both require proactive identification and mitigation of threats to sensitive information.",intersects_with,4,5.19.RA-3 Risk Assessment,5.19.RA-3,Conduct a risk assessment including identifying threats to and vulnerabilities in the system; determining the likelihood and magnitude of harm from unauthorized access.,"HIPAA additionally covers operational and administrative threats to ePHI; CJIS additionally covers threats specific to criminal justice information systems."
164.306(b),Flexibility of Approach,Covered entities may use any security measures that allow reasonable and appropriate implementation taking into account size complexity capabilities costs and probability of risks.,high,semantic,"HIPAA 164.306(b) requires covered entities to consider size, complexity, capabilities, costs, and risk probability when selecting security measures. CJIS 5.19.RA-3 requires risk assessments that determine the likelihood and magnitude of harm to guide security decisions. Both require risk-informed and context-sensitive security decision making.",intersects_with,4,5.19.RA-3 Risk Assessment,5.19.RA-3,Conduct a risk assessment including identifying threats to and vulnerabilities in the system; determining the likelihood and magnitude of harm from unauthorized access.,"HIPAA additionally provides a flexibility framework for covered entities to select measures based on organizational factors; CJIS additionally mandates specific assessment frequencies and remediation timeframes."
164.306(c),Standards,A covered entity must comply with all standards in §164.308 §164.310 §164.312 §164.314 and §164.316.,high,semantic,"HIPAA 164.306(c) requires covered entities to comply with all enumerated security standards. CJIS 5.17.PL-2 requires development of security and privacy plans consistent with the enterprise architecture that describe controls planned for meeting security requirements. Both establish mandatory compliance frameworks for protecting sensitive information.",equal,10,5.17.PL-2 System Security And Privacy Plans,5.17.PL-2,Develop security and privacy plans for the system that are consistent with the organization's enterprise architecture and describe the controls in place or planned for meeting the security and privacy requirements.,HIPAA standards apply to ePHI; CJIS standards apply to CJI. Both represent comprehensive compliance frameworks requiring documented adherence to enumerated security controls.
164.306(d),Implementation Specifications,Implementation specifications are required or addressable; covered entities must implement required specifications and assess addressable ones.,high,semantic,"HIPAA 164.306(d) establishes a tiered system of required and addressable implementation specifications requiring documentation when an addressable specification is not implemented. CJIS 5.17.PL-11 requires tailoring the selected control baseline by applying specified tailoring actions. Both allow risk-based tailoring of security controls with documentation requirements.",intersects_with,4,5.17.PL-11 Baseline Tailoring,5.17.PL-11,Tailor the selected control baseline by applying specified tailoring actions.,"HIPAA distinguishes between required and addressable specifications; CJIS uses a formal tailoring process. HIPAA additionally requires documentation of why addressable specifications are not implemented; CJIS additionally defines a structured baseline selection process."
164.306(e),Maintenance,Security measures must be reviewed and modified as needed to continue providing reasonable and appropriate protection of ePHI.,high,semantic,"HIPAA 164.306(e) requires ongoing review and modification of security measures to maintain appropriate protection of ePHI. CJIS 5.17.PL-2 requires reviewing system security and privacy plans at least annually and updating them to address changes. Both mandate continuous maintenance and updating of security controls to respond to changing conditions.",equal,10,5.17.PL-2 System Security And Privacy Plans,5.17.PL-2,Develop security and privacy plans for the system that are consistent with the organization's enterprise architecture; review the system security and privacy plans at least annually.,"Both require periodic review and update of security measures/plans in response to environmental or operational changes. HIPAA frames this as ongoing maintenance of safeguards; CJIS frames it as annual plan review and update."
164.308(a)(1)(i),Security Management Process,Implement policies and procedures to prevent detect contain and correct security violations.,high,semantic,"HIPAA 164.308(a)(1)(i) requires policies and procedures to prevent, detect, contain, and correct security violations. CJIS 5.3.IR-1 requires development of agency-level incident response policy and procedures addressing preparation, detection, containment, and recovery. Both require comprehensive security management frameworks addressing the full lifecycle of security events.",equal,10,5.3.IR-1 Policy and Procedures,5.3.IR-1,Develop document and disseminate agency-level incident response policy and procedures addressing purpose scope roles responsibilities and compliance.,Both require formal policies and procedures for managing the full lifecycle of security events including prevention detection containment and correction/recovery.
164.308(a)(1)(i),Security Management Process,Implement policies and procedures to prevent detect contain and correct security violations.,high,semantic,"HIPAA 164.308(a)(1)(i) requires security management policies and procedures. CJIS 5.5.AC-1 requires development of agency-level access control policy and procedures. Both mandate formal documented policy frameworks as the foundation of security management.",intersects_with,4,5.5.AC-1 Policy and Procedures,5.5.AC-1,Develop document and disseminate to organizational personnel with access control responsibilities: agency-level access control policy and procedures to facilitate the implementation of the access control policy.,"HIPAA covers broad security management; CJIS AC-1 covers access control specifically. HIPAA additionally addresses incident containment and correction; CJIS additionally provides specific access control implementation guidance."
