"control_id","title","family","control_type","sortId","uuid","description"
"AC-2(11)","AC-02(11) - Usage Conditions","Access Control","","ac-02.11","35903250-430b-42d4-b3ef-fcc3a6c652d5"," Enforce {{ insert: param, AC-2(11)-1 }} for {{ insert: param, AC-2(11)-2 }}.   Guidance  Specifying and enforcing usage conditions helps to enforce the principle of least privilege, increase user accountability, and enable effective account monitoring. Account monitoring includes alerts generated if the account is used in violation of organizational parameters. Organizations can describe specific conditions or circumstances under which system accounts can be used, such as by restricting usage to certain days of the week, time of day, or specific durations of time. "
"AC-4(4)","AC-04(04) - Flow Control of Encrypted Information","Access Control","","ac-04.04","458e6e32-0830-4b9f-8ae7-1a8d209d95bf"," Prevent encrypted information from bypassing {{ insert: param, AC-4(4)-1 }} by {{ insert: param, AC-4(4)-2 }}.   Guidance  Flow control mechanisms include content checking, security policy filters, and data type identifiers. The term encryption is extended to cover encoded data not recognized by filtering mechanisms.   AC-4 (4) Additional FedRAMP Requirements and Guidance <b>Requirement:</b> The service provider must support Agency requirements to comply with M-21-31 (https://www.whitehouse.gov/wp-content/uploads/2021/08/M-21-31-Improving-the-Federal-Governments-Investigative-and-Remediation-Capabilities-Related-to-Cybersecurity-Incidents.pdf) and M-22-09 (https://www.whitehouse.gov/wp-content/uploads/2022/01/M-22-09.pdf). "
"AC-6(3)","AC-06(03) - Network Access to Privileged Commands","Access Control","","ac-06.03","6f7f4045-05fd-4de1-ae1c-2e9a9c918b00"," Authorize network access to {{ insert: param, AC-6(3)-1 }} only for {{ insert: param, AC-6(3)-2 }} and document the rationale for such access in the security plan for the system.   Guidance  Network access is any access across a network connection in lieu of local access (i.e., user being physically present at the device). "
"AC-6(8)","AC-06(08) - Privilege Levels for Code Execution","Access Control","","ac-06.08","9d048f93-a8b7-4986-8ff9-1a97737e70d1"," Prevent the following software from executing at higher privilege levels than users executing the software: {{ insert: param, AC-6(8) }}.   Guidance  In certain situations, software applications or programs need to execute with elevated privileges to perform required functions. However, depending on the software functionality and configuration, if the privileges required for execution are at a higher level than the privileges assigned to organizational users invoking such applications or programs, those users may indirectly be provided with greater privileges than assigned. "
"AC-10","AC-10 - Concurrent Session Control","Access Control","","ac-10","ff5dad93-4d1c-4590-8856-2a278fad7b17"," Limit the number of concurrent sessions for each {{ insert: param, AC-10-1 }} to {{ insert: param, AC-10-2 }}.   Guidance  Organizations may define the maximum number of concurrent sessions for system accounts globally, by account type, by account, or any combination thereof. For example, organizations may limit the number of concurrent sessions for system administrators or other individuals working in particularly sensitive domains or mission-critical applications. Concurrent session control addresses concurrent sessions for system accounts. It does not, however, address concurrent sessions by single users via multiple system accounts. "
"AC-18(4)","AC-18(04) - Restrict Configurations by Users","Access Control","","ac-18.04","340f4691-19bb-4aae-b48f-653c1804c831"," Identify and explicitly authorize users allowed to independently configure wireless networking capabilities.   Guidance  Organizational authorizations to allow selected users to configure wireless networking capabilities are enforced, in part, by the access enforcement mechanisms employed within organizational systems. "
"AC-18(5)","AC-18(05) - Antennas and Transmission Power Levels","Access Control","","ac-18.05","fc4dc506-1f65-44d3-a443-f2b6c939f579"," Select radio antennas and calibrate transmission power levels to reduce the probability that signals from wireless access points can be received outside of organization-controlled boundaries.   Guidance  Actions that may be taken to limit unauthorized use of wireless communications outside of organization-controlled boundaries include reducing the power of wireless transmissions so that the transmissions are less likely to emit a signal that can be captured outside of the physical perimeters of the organization, employing measures such as emissions security to control wireless emanations, and using directional or beamforming antennas that reduce the likelihood that unintended receivers will be able to intercept signals. Prior to taking such mitigating actions, organizations can conduct periodic wireless surveys to understand the radio frequency profile of organizational systems as well as other systems that may be operating in the area. "
"AU-5(1)","AU-05(01) - Storage Capacity Warning","Audit and Accountability","","au-05.01","24ecf293-fdb5-43c4-9507-e36fad8b4048"," Provide a warning to {{ insert: param, AU-5(1)-1 }} within {{ insert: param, AU-5(1)-2 }} when allocated audit log storage volume reaches {{ insert: param, AU-5(1)-3 }} of repository maximum audit log storage capacity.   Guidance  Organizations may have multiple audit log storage repositories distributed across multiple system components with each repository having different storage volume capacities. "
"AU-5(2)","AU-05(02) - Real-time Alerts","Audit and Accountability","","au-05.02","a76f5bef-b9a4-4472-9192-6f98fb132927"," Provide an alert within {{ insert: param, AU-5(2)-1 }} to {{ insert: param, AU-5(2)-2 }} when the following audit failure events occur: {{ insert: param, AU-5(2)-3 }}.   Guidance  Alerts provide organizations with urgent messages. Real-time alerts provide these messages at information technology speed (i.e., the time from event detection to alert occurs in seconds or less). "
"AU-6(4)","AU-06(04) - Central Review and Analysis","Audit and Accountability","","au-06.04","1dc6fc7e-5a44-4e50-942a-e079f819df43"," Provide and implement the capability to centrally review and analyze audit records from multiple components within the system.   Guidance  Automated mechanisms for centralized reviews and analyses include Security Information and Event Management products. "
"AU-6(5)","AU-06(05) - Integrated Analysis of Audit Records","Audit and Accountability","","au-06.05","cac452e3-66ce-4b76-9239-81384f6852c4"," Integrate analysis of audit records with analysis of {{ insert: param, AU-6(5) }} to further enhance the ability to identify inappropriate or unusual activity.   Guidance  Integrated analysis of audit records does not require vulnerability scanning, the generation of performance data, or system monitoring. Rather, integrated analysis requires that the analysis of information generated by scanning, monitoring, or other data collection activities is integrated with the analysis of audit record information. Security Information and Event Management tools can facilitate audit record aggregation or consolidation from multiple system components as well as audit record correlation and analysis. The use of standardized audit record analysis scripts developed by organizations (with localized script adjustments, as necessary) provides more cost-effective approaches for analyzing audit record information collected. The correlation of audit record information with vulnerability scanning information is important in determining the veracity of vulnerability scans of the system and in correlating attack detection events with scanning results. Correlation with performance data can uncover denial-of-service attacks or other types of attacks that result in the unauthorized use of resources. Correlation with system monitoring information can assist in uncovering attacks and in better relating audit information to operational situations. "
"AU-6(6)","AU-06(06) - Correlation with Physical Monitoring","Audit and Accountability","","au-06.06","cda5d2f9-53c3-40a0-b72c-0a3204b01db8"," Correlate information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual, or malevolent activity.   Guidance  The correlation of physical audit record information and the audit records from systems may assist organizations in identifying suspicious behavior or supporting evidence of such behavior. For example, the correlation of an individual’s identity for logical access to certain systems with the additional physical security information that the individual was present at the facility when the logical access occurred may be useful in investigations.   AU-6 (6) Additional FedRAMP Requirements and Guidance <b>Requirement:</b> Coordination between service provider and consumer shall be documented and accepted by the JAB/AO. "
"AU-6(7)","AU-06(07) - Permitted Actions","Audit and Accountability","","au-06.07","b4734aa9-c3e9-4f82-8865-84e320bd247e"," Specify the permitted actions for each {{ insert: param, AU-6(7) }} associated with the review, analysis, and reporting of audit record information.   Guidance  Organizations specify permitted actions for system processes, roles, and users associated with the review, analysis, and reporting of audit records through system account management activities. Specifying permitted actions on audit record information is a way to enforce the principle of least privilege. Permitted actions are enforced by the system and include read, write, execute, append, and delete. "
