FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet_Controls Requirement Title,Target ID #,OneLeet_Controls Requirement Description,Notes
AC-2(1),AC-02(01) - Automated System Account Management,"Support the management of system accounts using {{ insert: param, AC-2(1) }}.GuidanceAutomated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, tel...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-2(1) requires Support the management of system accounts using {{ insert: param, AC-2(1) }}.GuidanceAutomated system account management includes using automated mechanisms to create, enable, m.... OneLeet_Controls AC.AIM.V1 requires An inventory of user accounts on critical and high-risk vendors that have access to in-scope systems and services is maintained, including essential details such as account owne.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Account inventory maintained,AC.AIM.V1,"An inventory of user accounts on critical and high-risk vendors that have access to in-scope systems and services is maintained, including essential details such as account owners, access privileges, associated roles, and vendor relationships where applicable. The inventory is reviewed and updated at least annually.","Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes management, system, ac-02; OneLeet_Controls emphasizes inventory, maintained, applicable."
AC-2(2),AC-02(02) - Automated Temporary and Emergency Account Management,"Automatically {{ insert: param, AC-2(2)-1 }} temporary and emergency accounts after {{ insert: param, AC-2(2)-2 }}.GuidanceManagement of temporary and emergency accounts includes the removal or disabling of such accounts automatically after a predefined time period rather than at the convenience of the system administrator. Automatic removal or disabling of accounts provides a more consistent implementation.",medium,functional,"FedRAMP_R5_Moderate_Unique AC-2(2) requires Automatically {{ insert: param, AC-2(2)-1 }} temporary and emergency accounts after {{ insert: param, AC-2(2)-2 }}.GuidanceManagement of temporary and emergency accounts include.... OneLeet_Controls ES.EAAR.V1 requires Access to email accounts is restricted to administrators only, and isn't delegated to other non-admin users within the organization.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Email account access restricted,ES.EAAR.V1,"Access to email accounts is restricted to administrators only, and isn't delegated to other non-admin users within the organization.","Overlap: access control. Divergence: FedRAMP_R5_Moderate_Unique emphasizes ac-2, emergency, insert; OneLeet_Controls emphasizes email, restricted, administrators."
AC-2(3),AC-02(03) - Disable Accounts,"Disable accounts within {{ insert: param, AC-2(3) }} when the accounts:(a) Have expired;(b) Are no longer associated with a user or individual;(c) Are in violation of organizational policy; or(d) Have been inactive for {{ insert: param, AC-2(3)(d) }}.GuidanceDisabling expired, inactive, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system.AC-2 (3) Additional FedRAMP Requirements and Guidance Guidance: Fo...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-2(3) requires Disable accounts within {{ insert: param, AC-2(3) }} when the accounts:(a) Have expired;(b) Are no longer associated with a user or individual;(c) Are in violation of organizati.... OneLeet_Controls AC.DAD.V1 requires Disable default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts, where possible. Example implementations can in.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Default accounts disabled,AC.DAD.V1,"Disable default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts, where possible. Example implementations can include: disabling default accounts or making them unusable.","Overlap: access control; third-party management. Divergence: FedRAMP_R5_Moderate_Unique emphasizes ac-2, have, insert; OneLeet_Controls emphasizes default, administrator, assets."
AC-2(4),AC-02(04) - Automated Audit Actions,"Automatically audit account creation, modification, enabling, disabling, and removal actions.GuidanceAccount management audit records are defined in accordance with AU-2 and reviewed, analyzed, and reported in accordance with AU-6 .",medium,functional,"FedRAMP_R5_Moderate_Unique AC-2(4) requires Automatically audit account creation, modification, enabling, disabling, and removal actions.GuidanceAccount management audit records are defined in accordance with AU-2 and rev.... OneLeet_Controls AC.ALAR.V1 requires Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of a.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Audit log access restricted,AC.ALAR.V1,"Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of audit information, access to audit logging functionality must be restricted to a limited subset of privileged users or roles that have an explicit business need.","Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes actions, ac-02, account; OneLeet_Controls emphasizes against, authorization, deletion."
AC-2(5),AC-02(05) - Inactivity Logout,"Require that users log out when {{ insert: param, AC-2(5) }}.GuidanceInactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period. Automatic enforcement of inactivity logout is addressed by AC-11 .AC-2 (5) Additional FedRAMP Requirements and Guidance Guidance: Should use a shorter timeframe than AC-12.",medium,functional,"FedRAMP_R5_Moderate_Unique AC-2(5) requires Require that users log out when {{ insert: param, AC-2(5) }}.GuidanceInactivity logout is behavior- or policy-based and requires users to take physical action to log out when th.... OneLeet_Controls AC.MRFN.V1 requires Require multi-factor authentication (MFA) for accessing the organization's network. MFA strengthens network security by requiring users to provide additional authentication fact.... Both address access control. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,MFA required for network access,AC.MRFN.V1,Require multi-factor authentication (MFA) for accessing the organization's network. MFA strengthens network security by requiring users to provide additional authentication factors during login attempts.,"Shared scope: access control; audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes ac-02, ac-2, inactivity; OneLeet_Controls emphasizes mfa, network, accessing."
AC-2(7),AC-02(07) - Privileged User Accounts,"(a) Establish and administer privileged user accounts in accordance with {{ insert: param, AC-2(7)(a) }};(b) Monitor privileged role or attribute assignments;(c) Monitor changes to roles or attributes; and(d) Revoke access when privileged role or attribute assignments are no longer appropriate.GuidancePrivileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perf...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-2(7) requires (a) Establish and administer privileged user accounts in accordance with {{ insert: param, AC-2(7)(a) }};(b) Monitor privileged role or attribute assignments;(c) Monitor changes.... OneLeet_Controls AC.DAD.V1 requires Monitor for dormant user accounts and disable or remove accounts that have been inactive for an extended period.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Dormant accounts disabled,AC.DAD.V1,Monitor for dormant user accounts and disable or remove accounts that have been inactive for an extended period.,"Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_Moderate_Unique emphasizes privileged, assignments, attribute; OneLeet_Controls emphasizes dormant, authorization, been."
AC-2(9),AC-02(09) - Restrictions on Use of Shared and Group Accounts,"Only permit the use of shared and group accounts that meet {{ insert: param, AC-2(9) }}.GuidanceBefore permitting the use of shared or group accounts, organizations consider the increased risk due to the lack of accountability with such accounts.AC-2 (9) Additional FedRAMP Requirements and Guidance Requirement: Required if shared/group accounts are deployed.",medium,functional,"FedRAMP_R5_Moderate_Unique AC-2(9) requires Only permit the use of shared and group accounts that meet {{ insert: param, AC-2(9) }}.GuidanceBefore permitting the use of shared or group accounts, organizations consider the.... OneLeet_Controls AC.DAAU.V1 requires Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productiv.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Dedicated administrator accounts used,AC.DAAU.V1,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account.","Overlap: access control. Divergence: FedRAMP_R5_Moderate_Unique emphasizes group, shared, ac-02; OneLeet_Controls emphasizes administrator, dedicated, assets."
AC-2(12),AC-02(12) - Account Monitoring for Atypical Usage,"(a) Monitor system accounts for {{ insert: param, AC-2(12)(a) }} ; and(b) Report atypical usage of system accounts to {{ insert: param, AC-2(12)(b) }}.GuidanceAtypical usage includes accessing systems at certain times of the day or from locations that are not consistent with the normal usage patterns of individuals. Monitoring for atypical usage may reveal rogue behavior by individuals or an attack in progress. Account monitoring may inadvertently create privacy risks since data collected to...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-2(12) requires (a) Monitor system accounts for {{ insert: param, AC-2(12)(a) }} ; and(b) Report atypical usage of system accounts to {{ insert: param, AC-2(12)(b) }}.GuidanceAtypical usage inc.... OneLeet_Controls OS.PSM.V1 requires Premises shall be continuously monitored for unauthorized physical access.. Both address access control. FedRAMP_R5_Moderate_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Physical security monitoring,OS.PSM.V1,Premises shall be continuously monitored for unauthorized physical access.,"Shared scope: access control; audit and monitoring. FedRAMP_R5_Moderate_Unique additionally includes ac-2, accounts, atypical; OneLeet_Controls emphasizes physical, continuously, monitored."
AC-2(13),AC-02(13) - Disable Accounts for High-risk Individuals,"Disable accounts of individuals within {{ insert: param, AC-2(13)-1 }} of discovery of {{ insert: param, AC-2(13)-2 }}.GuidanceUsers who pose a significant security and/or privacy risk include individuals for whom reliable evidence indicates either the intention to use authorized access to systems to cause harm or through whom adversaries will cause harm. Such harm includes adverse impacts to organizational operations, organizational assets, individuals, other organizations, or the Nation. Cl...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-2(13) requires Disable accounts of individuals within {{ insert: param, AC-2(13)-1 }} of discovery of {{ insert: param, AC-2(13)-2 }}.GuidanceUsers who pose a significant security and/or priva.... OneLeet_Controls AC.DAD.V1 requires Monitor for dormant user accounts and disable or remove accounts that have been inactive for an extended period.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Dormant accounts disabled,AC.DAD.V1,Monitor for dormant user accounts and disable or remove accounts that have been inactive for an extended period.,"Overlap: access control. Divergence: FedRAMP_R5_Moderate_Unique emphasizes ac-2, individuals, insert; OneLeet_Controls emphasizes dormant, authorization, been."
AC-4,AC-04 - Information Flow Enforcement,"Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on {{ insert: param, AC-4 }}.GuidanceInformation flow control regulates where information can travel within a system and between systems (in contrast to who is allowed to access the information) and without regard to subsequent accesses to that information. Flow control restrictions include blocking external traffic that claims to be from within the organization, keepi...",medium,functional,"FedRAMP_R5_Moderate_Unique AC-4 requires Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on {{ insert: param, AC-4 }}.GuidanceInformation fl.... OneLeet_Controls IS.IFCP.V1 requires Establish an information flow control policy to regulate the secure transmission of Controlled Unclassified Information (CUI) within and between systems, enforcing encryption, a.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Information flow control policy established,IS.IFCP.V1,"Establish an information flow control policy to regulate the secure transmission of Controlled Unclassified Information (CUI) within and between systems, enforcing encryption, access controls, and boundary protections.","Overlap: access control; governance and policy; data protection. Divergence: FedRAMP_R5_Moderate_Unique emphasizes ac-04, ac-4, approved; OneLeet_Controls emphasizes policy, boundary, controlled."
