FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NIST 800-82 r3 Moderate Requirement Title,Target ID #,NIST 800-82 r3 Moderate Requirement Description,Notes
AC-1,AC-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate AC-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate AC-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",subset_of,7,AC-01 - Policy and Procedures,AC-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.784). Reclassified to subset_of (equal>50% safeguard).
AC-2,AC-02 - Account Management,Define and document the types of accounts allowed and specifically prohibited for use within the system; b.,high,semantic,StateRAMP Rev5 Moderate AC-2 requires Define and document the types of accounts allowed and specifically prohibited for use within the system; b.. NIST 800-82 r3 Moderate AC-2 requires Define and document the types of accounts allowed and specifically prohibited for use within the system; b.. Both address OT cybersecurity safeguards.,equal,10,AC-02 - Account Management,AC-2,Define and document the types of accounts allowed and specifically prohibited for use within the system; b.,Auto-mapped via ID-first + lexical scoring (score=0.958).
AC-2(1),AC-02(01) - Automated System Account Management,Support the management of system accounts using .,high,semantic,StateRAMP Rev5 Moderate AC-2(1) requires Support the management of system accounts using .. NIST 800-82 r3 Moderate AC-2(1) requires Support the management of system accounts using .. Both address OT cybersecurity safeguards.,equal,10,AC-02(01) - Automated System Account Management,AC-2(1),Support the management of system accounts using .,Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-2(2),AC-02(02) - Automated Temporary and Emergency Account Management,Automatically temporary and emergency accounts after .,high,semantic,StateRAMP Rev5 Moderate AC-2(2) requires Automatically temporary and emergency accounts after .. NIST 800-82 r3 Moderate AC-2(2) requires Automatically temporary and emergency accounts after .. Both address OT cybersecurity safeguards.,subset_of,7,AC-02(02) - Automated Temporary and Emergency Account Management,AC-2(2),Automatically temporary and emergency accounts after .,Auto-mapped via ID-first + lexical scoring (score=0.634). Reclassified to subset_of (equal>50% safeguard).
AC-2(3),AC-02(03) - Disable Accounts,Disable accounts within when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for .,high,functional,"StateRAMP Rev5 Moderate AC-2(3) requires Disable accounts within when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for .. NIST 800-82 r3 Moderate AC-2(3) requires Disable accounts within when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for .. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,4,AC-02(03) - Disable Accounts,AC-2(3),Disable accounts within when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for .,Auto-mapped via ID-first + lexical scoring (score=0.481).
AC-2(4),AC-02(04) - Automated Audit Actions,"Automatically audit account creation, modification, enabling, disabling, and removal actions.",high,semantic,"StateRAMP Rev5 Moderate AC-2(4) requires Automatically audit account creation, modification, enabling, disabling, and removal actions.. NIST 800-82 r3 Moderate AC-2(4) requires Automatically audit account creation, modification, enabling, disabling, and removal actions.. Both address OT cybersecurity safeguards.",equal,10,AC-02(04) - Automated Audit Actions,AC-2(4),"Automatically audit account creation, modification, enabling, disabling, and removal actions.",Auto-mapped via ID-first + lexical scoring (score=1.000).
AC-2(5),AC-02(05) - Inactivity Logout,Discussion Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period.,high,functional,"StateRAMP Rev5 Moderate AC-2(5) requires Discussion Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period.. NIST 800-82 r3 Moderate AC-2(5) requires Discussion Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,4,AC-02(05) - Inactivity Logout,AC-2(5),Discussion Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period.,Auto-mapped via ID-first + lexical scoring (score=0.510).
AC-2(7),AC-02(07) - Privileged User Accounts,(a) Establish and administer privileged user accounts in accordance with ; (b) Monitor privileged role or attribute assignments; (c) Monitor changes to roles or attributes; and (d) Revoke access when privileged role or attribute assignments are no longer appropriate.,medium,functional,"StateRAMP Rev5 Moderate AC-2(7) requires (a) Establish and administer privileged user accounts in accordance with ; (b) Monitor privileged role or attribute assignments; (c) Monitor changes to roles or attributes; and (d) Revoke access when privileged role or attribute assignments are no longer appropriate.. NIST 800-82 r3 Moderate AC-2(5) requires Discussion Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,AC-02(05) - Inactivity Logout,AC-2(5),Discussion Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period.,Auto-mapped via ID-first + lexical scoring (score=0.356).
AC-2(9),AC-02(09) - Restrictions on Use of Shared and Group Accounts,Only permit the use of shared and group accounts that meet .,medium,functional,"StateRAMP Rev5 Moderate AC-2(9) requires Only permit the use of shared and group accounts that meet .. NIST 800-82 r3 Moderate AC-2(3) requires Disable accounts within when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for .. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,AC-02(03) - Disable Accounts,AC-2(3),Disable accounts within when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for .,Auto-mapped via ID-first + lexical scoring (score=0.295).
AC-2(12),AC-02(12) - Account Monitoring for Atypical Usage,(a) Monitor system accounts for ; and (b) Report atypical usage of system accounts to .,medium,functional,"StateRAMP Rev5 Moderate AC-2(12) requires (a) Monitor system accounts for ; and (b) Report atypical usage of system accounts to .. NIST 800-82 r3 Moderate AC-2(1) requires Support the management of system accounts using .. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,AC-02(01) - Automated System Account Management,AC-2(1),Support the management of system accounts using .,Auto-mapped via ID-first + lexical scoring (score=0.353).
