controlId,title,family,description,parameters,objectives,enhancements
AC-1,AC-01 - Policy and Procedures,Access Control,"a. Develop, document, and disseminate to : 1. access control policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the access control policy and the associated access controls; b. Designate an to manage the development, documentation, and dissemination of the access control policy and procedures; and c. Review and update the current access control: 1. Policy and following ; and 2. Procedures and following . Discussion Access control policy and procedures address the controls in the AC family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of access control policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies reflecting the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to access control policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure. OT Discussion The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems. OT access by vendors and maintenance staff can occur over a large facility footprint or geographic area and into unobserved spaces, such as mechanical or electrical rooms, ceilings, floors, field substations, switch and valve vaults, and pump stations.","[{""uuid"":""a98b7c79-94f4-46ef-b0f8-ef956aefd6bd"",""parameterId"":""AC-1(a)"",""text"":""organization-defined personnel or roles"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization-defined personnel or roles] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-1_prm_1""},{""uuid"":""0a129b60-0f1b-4e1f-9ff6-07a5e8f0dc61"",""parameterId"":""AC-1(a)(1)"",""text"":""[Selection (one or more): organization-level; mission/business process-level; system-level]"",""constraints"":"""",""guidance"":"""",""default"":""[Selection (one or more): organization-level; mission/business process-level; system-level]"",""displayName"":"""",""dataType"":"""",""otherId"":""ac-01_odp.03""},{""uuid"":""aa4df469-53c3-4cff-ba4f-74d6eb3cb387"",""parameterId"":""AC-1(b)"",""text"":""official"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined official] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-01_odp.04""},{""uuid"":""d0735cf9-fd46-4724-a49f-433bbe3a8836"",""parameterId"":""AC-1(c)(1)-1"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-01_odp.05""},{""uuid"":""c3ac73f4-fea4-468f-b930-3641afd0ed5d"",""parameterId"":""AC-1(c)(1)-2"",""text"":""events"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined events] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-01_odp.06""},{""uuid"":""7fca32c2-62e4-43f2-a08d-a632e4de561f"",""parameterId"":""AC-1(c)(2)-1"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-01_odp.07""},{""uuid"":""d3011662-d205-40e6-ad10-ca9af819afb6"",""parameterId"":""AC-1(c)(2)-2"",""text"":""events"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined events] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-01_odp.08""}]","[{""uuid"":""2a6ce37c-4172-4dd6-a509-ab3f708bce0a"",""name"":""a."",""objectiveType"":"""",""otherId"":""ac-1_smt.a"",""description"":""<ul><li>a. Develop, document, and disseminate to {{ insert: param, AC-1(a) }}:</li><ul><li>1. {{ insert: param, AC-1(a)(1) }} access control policy that:</li><ul><li>(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and</li><li>(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and</li></ul><li>2. Procedures to facilitate the implementation of the access control policy and the associated access controls;</li></ul>""},{""uuid"":""c6dc9675-a1b0-489e-a653-a68e72e5f9c4"",""name"":""b."",""objectiveType"":"""",""otherId"":""ac-1_smt.b"",""description"":""<ul><li>b. Designate an {{ insert: param, AC-1(b) }} to manage the development, documentation, and dissemination of the access control policy and procedures; and</li></ul>""},{""uuid"":""e3a7acff-827f-4275-9f7b-9c216063bad1"",""name"":""c."",""objectiveType"":"""",""otherId"":""ac-1_smt.c"",""description"":""<ul><li>c. Review and update the current access control:</li><ul><li>1. Policy {{ insert: param, AC-1(c)(1)-1 }} and following {{ insert: param, AC-1(c)(1)-2 }} ; and</li><li>2. Procedures {{ insert: param, AC-1(c)(2)-1 }} and following {{ insert: param, AC-1(c)(2)-2 }}.</li></ul>""}]",
AC-2,AC-02 - Account Management,Access Control,"a. Define and document the types of accounts allowed and specifically prohibited for use within the system; b. Assign account managers; c. Require for group and role membership; d. Specify: 1. Authorized users of the system; 2. Group and role membership; and 3. Access authorizations (i.e., privileges) and for each account; e. Require approvals by for requests to create accounts; f. Create, enable, modify, disable, and remove accounts in accordance with ; g. Monitor the use of accounts; h. Notify account managers and within: 1. when accounts are no longer required; 2. when users are terminated or transferred; and 3. when system usage or need-to-know changes for an individual; i. Authorize access to the system based on: 1. A valid access authorization; 2. Intended system usage; and 3. ; j. Review accounts for compliance with account management requirements ; k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and l. Align account management processes with personnel termination and transfer processes. Discussion Examples of system account types include individual, shared, group, system, guest, anonymous, emergency, developer, temporary, and service. Identification of authorized system users and the specification of access privileges reflect the requirements in other controls in the security plan. Users requiring administrative privileges on system accounts receive additional scrutiny by organizational personnel responsible for approving such accounts and privileged access, including system owner, mission or business owner, senior agency information security officer, or senior agency official for privacy. Types of accounts that organizations may wish to prohibit due to increased risk include shared, group, emergency, anonymous, temporary, and guest accounts. Where access involves personally identifiable information, security programs collaborate with the senior agency official for privacy to establish the specific conditions for group and role membership; specify authorized users, group and role membership, and access authorizations for each account; and create, adjust, or remove system accounts in accordance with organizational policies. Policies can include such information as account expiration dates or other factors that trigger the disabling of accounts. Organizations may choose to define access privileges or other attributes by account, type of account, or a combination of the two. Examples of other attributes required for authorizing access include restrictions on time of day, day of week, and point of origin. In defining other system account attributes, organizations consider system-related requirements and mission/business requirements. Failure to consider these factors could affect system availability. Temporary and emergency accounts are intended for short-term use. Organizations establish temporary accounts as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts, including local logon accounts used for special tasks or when network resources are unavailable (may also be known as accounts of last resort). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include when shared/group, emergency, or temporary accounts are no longer required and when individuals are transferred or terminated. Changing shared/group authenticators when members leave the group is intended to ensure that former group members do not retain access to the shared or group account. Some types of system accounts may require specialized training. OT Discussion In OT systems, physical security, personnel security, intrusion detection, or auditing measures may support this control objective.","[{""uuid"":""2c1d07aa-69e9-4506-8971-7314ce9908a0"",""parameterId"":""AC-2(c)"",""text"":""prerequisites and criteria"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined prerequisites and criteria] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.01""},{""uuid"":""6a32fb42-72a4-42c4-af5f-0e1e25b783ce"",""parameterId"":""AC-2(d)(3)"",""text"":""attributes (as required)"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined attributes (as required)] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.02""},{""uuid"":""0acf54c2-df8a-468e-9248-95fc37c7b959"",""parameterId"":""AC-2(e)"",""text"":""personnel or roles"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined personnel or roles] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.03""},{""uuid"":""2149bd43-5129-4b69-b612-9005e4d63bfa"",""parameterId"":""AC-2(f)"",""text"":""policy, procedures, prerequisites, and criteria"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined policy, procedures, prerequisites, and criteria] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.04""},{""uuid"":""932df96d-a31d-401a-b1fd-5fc90d1a2147"",""parameterId"":""AC-2(h)"",""text"":""personnel or roles"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined personnel or roles] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.05""},{""uuid"":""04e58efe-defe-4524-92a3-6536ba4c0b42"",""parameterId"":""AC-2(h)(1)"",""text"":""time period"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined time period] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.06""},{""uuid"":""30de3560-efdc-4992-ae38-8174349be6b0"",""parameterId"":""AC-2(h)(2)"",""text"":""time period"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined time period] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.07""},{""uuid"":""a3be5a8f-9de3-40f7-8171-9d31fca4dc7e"",""parameterId"":""AC-2(h)(3)"",""text"":""time period"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined time period] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.08""},{""uuid"":""bddfb2dd-7f4d-4270-878d-5ff85a8f99a8"",""parameterId"":""AC-2(i)(3)"",""text"":""attributes (as required)"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined attributes (as required)] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.09""},{""uuid"":""b17f9cd7-77bb-4762-aa36-129b6a5d2f6c"",""parameterId"":""AC-2(j)"",""text"":""frequency"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined frequency] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02_odp.10""}]","[{""uuid"":""9e79f815-a1a7-409a-a5a1-1d4043129d30"",""name"":""a."",""objectiveType"":"""",""otherId"":""ac-2_smt.a"",""description"":""<ul><li>a. Define and document the types of accounts allowed and specifically prohibited for use within the system;</li></ul>""},{""uuid"":""10158675-0421-40fe-8cc3-6bffcf937873"",""name"":""b."",""objectiveType"":"""",""otherId"":""ac-2_smt.b"",""description"":""<ul><li>b. Assign account managers;</li></ul>""},{""uuid"":""6d02aa18-9de1-490c-9979-835ec9c66b6e"",""name"":""c."",""objectiveType"":"""",""otherId"":""ac-2_smt.c"",""description"":""<ul><li>c. Require {{ insert: param, AC-2(c) }} for group and role membership;</li></ul>""},{""uuid"":""205cef88-5339-43cf-8764-98ac91cc3f0f"",""name"":""d."",""objectiveType"":"""",""otherId"":""ac-2_smt.d"",""description"":""<ul><li>d. Specify:</li><ul><li>1. Authorized users of the system;</li><li>2. Group and role membership; and</li><li>3. Access authorizations (i.e., privileges) and {{ insert: param, AC-2(d)(3) }} for each account;</li></ul>""},{""uuid"":""edfaf478-2d36-47ba-82a8-77ed7112626b"",""name"":""e."",""objectiveType"":"""",""otherId"":""ac-2_smt.e"",""description"":""<ul><li>e. Require approvals by {{ insert: param, AC-2(e) }} for requests to create accounts;</li></ul>""},{""uuid"":""dff3c491-9073-4f7e-8fba-126c747166a5"",""name"":""f."",""objectiveType"":"""",""otherId"":""ac-2_smt.f"",""description"":""<ul><li>f. Create, enable, modify, disable, and remove accounts in accordance with {{ insert: param, AC-2(f) }};</li></ul>""},{""uuid"":""8f54f5c4-ca0d-4a53-b66b-b223e88982c8"",""name"":""g."",""objectiveType"":"""",""otherId"":""ac-2_smt.g"",""description"":""<ul><li>g. Monitor the use of accounts;</li></ul>""},{""uuid"":""ce033bf8-ab68-4091-93a3-f9d4ff46e38a"",""name"":""h."",""objectiveType"":"""",""otherId"":""ac-2_smt.h"",""description"":""<ul><li>h. Notify account managers and {{ insert: param, AC-2(h) }} within:</li><ul><li>1. {{ insert: param, AC-2(h)(1) }} when accounts are no longer required;</li><li>2. {{ insert: param, AC-2(h)(2) }} when users are terminated or transferred; and</li><li>3. {{ insert: param, AC-2(h)(3) }} when system usage or need-to-know changes for an individual;</li></ul>""},{""uuid"":""7704eaee-33db-4ab1-a80f-a6b9f28ae643"",""name"":""i."",""objectiveType"":"""",""otherId"":""ac-2_smt.i"",""description"":""<ul><li>i. Authorize access to the system based on:</li><ul><li>1. A valid access authorization;</li><li>2. Intended system usage; and</li><li>3. {{ insert: param, AC-2(i)(3) }};</li></ul>""},{""uuid"":""69234583-7ea4-4145-b902-73da8864ce15"",""name"":""j."",""objectiveType"":"""",""otherId"":""ac-2_smt.j"",""description"":""<ul><li>j. Review accounts for compliance with account management requirements {{ insert: param, AC-2(j) }};</li></ul>""},{""uuid"":""4a2e9fc0-ba30-45bb-93a8-533aea345e82"",""name"":""k."",""objectiveType"":"""",""otherId"":""ac-2_smt.k"",""description"":""<ul><li>k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and</li></ul>""},{""uuid"":""7f4528c3-55d6-402d-b5aa-4de1f54eca56"",""name"":""l."",""objectiveType"":"""",""otherId"":""ac-2_smt.l"",""description"":""<ul><li>l. Align account management processes with personnel termination and transfer processes.</li></ul>""}]",Enhancements AC-2(1) - Automated System Account Management AC-2(2) - Automated Temporary and Emergency Account Management AC-2(3) - Disable Accounts AC-2(4) - Automated Audit Actions AC-2(5) - Inactivity Logout AC-2(6) - Dynamic Privilege Management AC-2(7) - Privileged User Accounts AC-2(8) - Dynamic Account Management AC-2(9) - Restrictions on Use of Shared and Group Accounts AC-2(11) - Usage Conditions AC-2(12) - Account Monitoring for Atypical Usage AC-2(13) - Disable Accounts for High-risk Individuals
AC-2(1),AC-02(01) - Automated System Account Management,Access Control,"Support the management of system accounts using . Discussion Automated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, telephonic, and text messaging notifications.","[{""uuid"":""358abe5e-3e9d-4e83-86fe-8beec3095786"",""parameterId"":""AC-2(1)"",""text"":""automated mechanisms"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined automated mechanisms] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02.01_odp""}]","[{""uuid"":""74668289-b953-461f-86f1-0ec9f8313c3e"",""name"":""AC-2(1)"",""objectiveType"":"""",""otherId"":""ac-2.1_smt"",""description"":""Support the management of system accounts using {{ insert: param, AC-2(1) }}.""}]",
AC-2(2),AC-02(02) - Automated Temporary and Emergency Account Management,Access Control,"Automatically temporary and emergency accounts after . Discussion Management of temporary and emergency accounts includes the removal or disabling of such accounts automatically after a predefined time period rather than at the convenience of the system administrator. Automatic removal or disabling of accounts provides a more consistent implementation. OT Discussion When the OT (e.g., field devices) cannot support temporary or emergency accounts, this enhancement does not apply. Example compensating controls include employing nonautomated mechanisms or procedures.","[{""uuid"":""705cc7a7-9597-4022-af3c-8b3fbb8fd55c"",""parameterId"":""AC-2(2)-1"",""text"":""[Selection: remove; disable]"",""constraints"":"""",""guidance"":"""",""default"":""[Selection: remove; disable]"",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02.02_odp.01""},{""uuid"":""c3488763-ea4e-4479-828f-3a38b6403993"",""parameterId"":""AC-2(2)-2"",""text"":""time period"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined time period] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02.02_odp.02""}]","[{""uuid"":""654425f0-5497-4e3c-a40b-51ca9a22809d"",""name"":""AC-2(2)"",""objectiveType"":"""",""otherId"":""ac-2.2_smt"",""description"":""Automatically {{ insert: param, AC-2(2)-1 }} temporary and emergency accounts after {{ insert: param, AC-2(2)-2 }}.""}]",
AC-2(3),AC-02(03) - Disable Accounts,Access Control,"Disable accounts within when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for . Discussion Disabling expired, inactive, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system.","[{""uuid"":""11cc4216-e652-4ca2-a849-b30ef7e305ba"",""parameterId"":""AC-2(3)"",""text"":""time period"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined time period] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02.03_odp.01""},{""uuid"":""f031c4cb-71b9-4154-825c-7908ee0ce717"",""parameterId"":""AC-2(3)(d)"",""text"":""time period"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined time period] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02.03_odp.02""}]","[{""uuid"":""972c87dd-5f6f-43cb-b866-c70d55ecbf62"",""name"":""(a)"",""objectiveType"":"""",""otherId"":""ac-2.3_smt.a"",""description"":""<ul><li>(a) Disable accounts within {{ insert: param, AC-2(3) }} when the accounts: Have expired;</li></ul>""},{""uuid"":""648e5211-89ec-47de-aa5e-6d142b8ed783"",""name"":""(b)"",""objectiveType"":"""",""otherId"":""ac-2.3_smt.b"",""description"":""<ul><li>(b) Disable accounts within {{ insert: param, AC-2(3) }} when the accounts: Are no longer associated with a user or individual;</li></ul>""},{""uuid"":""0f20b7cc-dd2a-4c12-8b9e-178b02c890ed"",""name"":""(c)"",""objectiveType"":"""",""otherId"":""ac-2.3_smt.c"",""description"":""<ul><li>(c) Disable accounts within {{ insert: param, AC-2(3) }} when the accounts: Are in violation of organizational policy; or</li></ul>""},{""uuid"":""7ea934a4-5f5f-42ab-89ab-87d8c0091a51"",""name"":""(d)"",""objectiveType"":"""",""otherId"":""ac-2.3_smt.d"",""description"":""<ul><li>(d) Disable accounts within {{ insert: param, AC-2(3) }} when the accounts: Have been inactive for {{ insert: param, AC-2(3)(d) }}.</li></ul>""}]",
AC-2(4),AC-02(04) - Automated Audit Actions,Access Control,"Automatically audit account creation, modification, enabling, disabling, and removal actions. Discussion Account management audit records are defined in accordance with AU-2 and reviewed, analyzed, and reported in accordance with AU-6 .",,"[{""uuid"":""de15094c-fba3-44ce-be62-8a27e6eec7b2"",""name"":""AC-2(4)"",""objectiveType"":"""",""otherId"":""ac-2.4_smt"",""description"":""Automatically audit account creation, modification, enabling, disabling, and removal actions.""}]",
AC-2(5),AC-02(05) - Inactivity Logout,Access Control,"Require that users log out when . Discussion Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period. Automatic enforcement of inactivity logout is addressed by AC-11 . OT Discussion This control enhancement defines situations or timeframes in which users log out of accounts in the policy. Automatic enforcement is not addressed by this control enhancement. Organizations determine whether this control enhancement is appropriate for the mission and/or functions of the OT system and define the timeframe or scenarios. If no timeframe or scenarios apply, the organization-defined parameter reflects as much.","[{""uuid"":""25d883d1-2faa-4284-ad0b-40b6ae2ca43b"",""parameterId"":""AC-2(5)"",""text"":""time period of expected inactivity or description of when to log out"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined time period of expected inactivity or description of when to log out] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02.05_odp""}]","[{""uuid"":""70fcdbcb-bbe0-488c-8598-261facb09b0a"",""name"":""AC-2(5)"",""objectiveType"":"""",""otherId"":""ac-2.5_smt"",""description"":""Require that users log out when {{ insert: param, AC-2(5) }}.""}]",
AC-2(13),AC-02(13) - Disable Accounts for High-risk Individuals,Access Control,"Disable accounts of individuals within of discovery of . Discussion Users who pose a significant security and/or privacy risk include individuals for whom reliable evidence indicates either the intention to use authorized access to systems to cause harm or through whom adversaries will cause harm. Such harm includes adverse impacts to organizational operations, organizational assets, individuals, other organizations, or the Nation. Close coordination among system administrators, legal staff, human resource managers, and authorizing officials is essential when disabling system accounts for high-risk individuals. OT Discussion Close coordination occurs between OT, HR, IT, and physical security personnel to ensure the timely removal of high-risk individuals.","[{""uuid"":""94d5ba08-4fbd-4f4e-b051-0ea2b01c44a3"",""parameterId"":""AC-2(13)-1"",""text"":""time period"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined time period] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02.13_odp.01""},{""uuid"":""8272be26-ed44-41b6-b55c-4b6df0caa00f"",""parameterId"":""AC-2(13)-2"",""text"":""significant risks"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined significant risks] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-02.13_odp.02""}]","[{""uuid"":""b7c537e5-8d80-4681-82e4-eafb201469bf"",""name"":""AC-2(13)"",""objectiveType"":"""",""otherId"":""ac-2.13_smt"",""description"":""Disable accounts of individuals within {{ insert: param, AC-2(13)-1 }} of discovery of {{ insert: param, AC-2(13)-2 }}.""}]",
AC-3,AC-03 - Access Enforcement,Access Control,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies. Discussion Access control policies control access between active entities or subjects (i.e., users or processes acting on behalf of users) and passive entities or objects (i.e., devices, files, records, domains) in organizational systems. In addition to enforcing authorized access at the system level and recognizing that systems can host many applications and services in support of mission and business functions, access enforcement mechanisms can also be employed at the application and service level to provide increased information security and privacy. In contrast to logical access controls that are implemented within the system, physical access controls are addressed by the controls in the Physical and Environmental Protection ( PE ) family. OT Discussion The organization ensures that access enforcement mechanisms do not adversely impact the operational performance of the OT. Example compensating controls include encapsulation. The policy for logical access control to non-addressable and non-routable system resources and the associated information is made explicit. Access control mechanisms include hardware, firmware, and software that control the device or have device access, such as device drivers and communications controllers. Physical access control may serve as a compensating control for logical access control. However, it may not provide sufficient granularity when users require access to different functions.",,"[{""uuid"":""c134fad6-6abf-46b6-9118-4256af889c86"",""name"":""AC-3"",""objectiveType"":"""",""otherId"":""ac-3_smt"",""description"":""Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.""}]",Enhancements AC-3(2) - Dual Authorization AC-3(3) - Mandatory Access Control AC-3(4) - Discretionary Access Control AC-3(5) - Security-relevant Information AC-3(7) - Role-based Access Control AC-3(8) - Revocation of Access Authorizations AC-3(9) - Controlled Release AC-3(10) - Audited Override of Access Control Mechanisms AC-3(11) - Restrict Access to Specific Information Types AC-3(12) - Assert and Enforce Application Access AC-3(13) - Attribute-based Access Control AC-3(14) - Individual Access AC-3(15) - Discretionary and Mandatory Access Control
AC-4,AC-04 - Information Flow Enforcement,Access Control,"Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on . Discussion Information flow control regulates where information can travel within a system and between systems (in contrast to who is allowed to access the information) and without regard to subsequent accesses to that information. Flow control restrictions include blocking external traffic that claims to be from within the organization, keeping export-controlled information from being transmitted in the clear to the Internet, restricting web requests that are not from the internal web proxy server, and limiting information transfers between organizations based on data structures and content. Transferring information between organizations may require an agreement specifying how the information flow is enforced (see CA-3 ). Transferring information between systems in different security or privacy domains with different security or privacy policies introduces the risk that such transfers violate one or more domain security or privacy policies. In such situations, information owners/stewards provide guidance at designated policy enforcement points between connected systems. Organizations consider mandating specific architectural solutions to enforce specific security and privacy policies. Enforcement includes prohibiting information transfers between connected systems (i.e., allowing access only), verifying write permissions before accepting information from another security or privacy domain or connected system, employing hardware mechanisms to enforce one-way information flows, and implementing trustworthy regrading mechanisms to reassign security or privacy attributes and labels. Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations within systems and between connected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices that employ rule sets or establish configuration settings that restrict system services, provide a packet-filtering capability based on header information, or provide a message-filtering capability based on message content. Organizations also consider the trustworthiness of filtering and/or inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. Control enhancements 3 through 32 primarily address cross-domain solution needs that focus on more advanced filtering techniques, in-depth analysis, and stronger flow enforcement mechanisms implemented in cross-domain products, such as high-assurance guards. Such capabilities are generally not available in commercial off-the-shelf products. Information flow enforcement also applies to control plane traffic (e.g., routing and DNS). OT Discussion Information flow policy may be achieved using a combination of logical and physical flow restriction techniques. The inspection of message content may enforce information flow policy. For example, industrial OT protocols may be restricted using inbound and outbound traffic rules on a network control device between OT and IT networks. For non-routable communication, such as serial connections, devices may be configured to limit commands to and from specific tags within the OT device. The information flow policy may be supported by labeling or coloring physical connectors to aid in connecting networks. Devices that do not have a business need to communicate should not be connected (i.e., air gapped).","[{""uuid"":""3df50c65-1bf3-4ef8-b61c-361d26d8b218"",""parameterId"":""AC-4"",""text"":""information flow control policies"",""constraints"":"""",""guidance"":"""",""default"":"" [Assignment: organization defined information flow control policies] "",""displayName"":"""",""dataType"":"""",""otherId"":""ac-04_odp""}]","[{""uuid"":""f430a770-bfb2-4cd2-9862-df6a79a29537"",""name"":""AC-4"",""objectiveType"":"""",""otherId"":""ac-4_smt"",""description"":""Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on {{ insert: param, AC-4 }}.""}]",Enhancements AC-4(1) - Object Security and Privacy Attributes AC-4(2) - Processing Domains AC-4(3) - Dynamic Information Flow Control AC-4(4) - Flow Control of Encrypted Information AC-4(5) - Embedded Data Types AC-4(6) - Metadata AC-4(7) - One-way Flow Mechanisms AC-4(8) - Security and Privacy Policy Filters AC-4(9) - Human Reviews AC-4(10) - Enable and Disable Security or Privacy Policy Filters AC-4(11) - Configuration of Security or Privacy Policy Filters AC-4(12) - Data Type Identifiers AC-4(13) - Decomposition into Policy-relevant Subcomponents AC-4(14) - Security or Privacy Policy Filter Constraints AC-4(15) - Detection of Unsanctioned Information AC-4(17) - Domain Authentication AC-4(19) - Validation of Metadata AC-4(20) - Approved Solutions AC-4(21) - Physical or Logical Separation of Information Flows AC-4(22) - Access Only AC-4(23) - Modify Non-releasable Information AC-4(24) - Internal Normalized Format AC-4(25) - Data Sanitization AC-4(26) - Audit Filtering Actions AC-4(27) - Redundant/Independent Filtering Mechanisms AC-4(28) - Linear Filter Pipelines AC-4(29) - Filter Orchestration Engines AC-4(30) - Filter Mechanisms Using Multiple Processes AC-4(31) - Failed Content Transfer Prevention AC-4(32) - Process Requirements for Information Transfer
