FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet_Controls Requirement Title,Target ID #,OneLeet_Controls Requirement Description,Notes
AC-2(11),AC-02(11) - Usage Conditions,"Enforce {{ insert: param, AC-2(11)-1 }} for {{ insert: param, AC-2(11)-2 }}. Guidance Specifying and enforcing usage conditions helps to enforce the principle of least privilege, increase user accountability, and enable effective account monitoring. Account monitoring includes alerts generated if the account is used in violation of organizational parameters. Organizations can describe specific conditions or circumstances under which system accounts can be used, such as by restricting usage to...",medium,functional,"FedRAMP_R5_High_Unique AC-2(11) requires Enforce {{ insert: param, AC-2(11)-1 }} for {{ insert: param, AC-2(11)-2 }}. Guidance Specifying and enforcing usage conditions helps to enforce the principle of least privilege.... OneLeet_Controls AC.PMPE.V1 requires Strictly enforce the organization’s password management policy to guarantee compliance with security standards. Enforcing this policy includes implementing technical controls, m.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Password management policy enforced,AC.PMPE.V1,"Strictly enforce the organization’s password management policy to guarantee compliance with security standards. Enforcing this policy includes implementing technical controls, monitoring adherence, and responding to non-compliance.","Overlap: access control; audit and monitoring. Divergence: FedRAMP_R5_High_Unique emphasizes ac-2, insert, param; OneLeet_Controls emphasizes management, password, policy."
AC-4(4),AC-04(04) - Flow Control of Encrypted Information,"Prevent encrypted information from bypassing {{ insert: param, AC-4(4)-1 }} by {{ insert: param, AC-4(4)-2 }}. Guidance Flow control mechanisms include content checking, security policy filters, and data type identifiers. The term encryption is extended to cover encoded data not recognized by filtering mechanisms. AC-4 (4) Additional FedRAMP Requirements and Guidance Requirement: The service provider must support Agency requirements to comply with M-21-31 (https://www.whitehouse.gov/wp-conten...",medium,functional,"FedRAMP_R5_High_Unique AC-4(4) requires Prevent encrypted information from bypassing {{ insert: param, AC-4(4)-1 }} by {{ insert: param, AC-4(4)-2 }}. Guidance Flow control mechanisms include content checking, securit.... OneLeet_Controls IS.IFCP.V1 requires Establish an information flow control policy to regulate the secure transmission of Controlled Unclassified Information (CUI) within and between systems, enforcing encryption, a.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Information flow control policy established,IS.IFCP.V1,"Establish an information flow control policy to regulate the secure transmission of Controlled Unclassified Information (CUI) within and between systems, enforcing encryption, access controls, and boundary protections.","Overlap: access control; governance and policy; data protection. Divergence: FedRAMP_R5_High_Unique emphasizes ac-4, encrypted, insert; OneLeet_Controls emphasizes policy, between, boundary."
AC-6(3),AC-06(03) - Network Access to Privileged Commands,"Authorize network access to {{ insert: param, AC-6(3)-1 }} only for {{ insert: param, AC-6(3)-2 }} and document the rationale for such access in the security plan for the system. Guidance Network access is any access across a network connection in lieu of local access (i.e., user being physically present at the device).",medium,functional,"FedRAMP_R5_High_Unique AC-6(3) requires Authorize network access to {{ insert: param, AC-6(3)-1 }} only for {{ insert: param, AC-6(3)-2 }} and document the rationale for such access in the security plan for the system.... OneLeet_Controls EP.PAR.V1 requires The allocation and use of privileged access rights shall be restricted and managed.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Privileged access rights,EP.PAR.V1,The allocation and use of privileged access rights shall be restricted and managed.,"Overlap: access control. Divergence: FedRAMP_R5_High_Unique emphasizes ac-6, insert, network; OneLeet_Controls emphasizes rights, allocation, endpoint."
AC-6(8),AC-06(08) - Privilege Levels for Code Execution,"Prevent the following software from executing at higher privilege levels than users executing the software: {{ insert: param, AC-6(8) }}. Guidance In certain situations, software applications or programs need to execute with elevated privileges to perform required functions. However, depending on the software functionality and configuration, if the privileges required for execution are at a higher level than the privileges assigned to organizational users invoking such applications or program...",medium,functional,"FedRAMP_R5_High_Unique AC-6(8) requires Prevent the following software from executing at higher privilege levels than users executing the software: {{ insert: param, AC-6(8) }}. Guidance In certain situations, softwar.... OneLeet_Controls AC.ATSC.V1 requires Read and write access to source code, development tools and software libraries shall be appropriately managed.. Both address access control. FedRAMP_R5_High_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Access to source code,AC.ATSC.V1,"Read and write access to source code, development tools and software libraries shall be appropriately managed.","Shared scope: access control. FedRAMP_R5_High_Unique additionally includes executing, levels, privilege; OneLeet_Controls emphasizes source, appropriately, authorization."
AC-10,AC-10 - Concurrent Session Control,"Limit the number of concurrent sessions for each {{ insert: param, AC-10-1 }} to {{ insert: param, AC-10-2 }}. Guidance Organizations may define the maximum number of concurrent sessions for system accounts globally, by account type, by account, or any combination thereof. For example, organizations may limit the number of concurrent sessions for system administrators or other individuals working in particularly sensitive domains or mission-critical applications. Concurrent session control ad...",medium,functional,"FedRAMP_R5_High_Unique AC-10 requires Limit the number of concurrent sessions for each {{ insert: param, AC-10-1 }} to {{ insert: param, AC-10-2 }}. Guidance Organizations may define the maximum number of concurrent.... OneLeet_Controls EP.ASLE.V1 requires Enforce automatic session locking to prevent unauthorized access to unattended devices. Automatic session locking helps protect sensitive data from unauthorized access and misuse.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Automatic session locking enforced,EP.ASLE.V1,Enforce automatic session locking to prevent unauthorized access to unattended devices. Automatic session locking helps protect sensitive data from unauthorized access and misuse.,"Overlap: access control. Divergence: FedRAMP_R5_High_Unique emphasizes concurrent, insert, param; OneLeet_Controls emphasizes automatic, locking, devices."
AC-18(4),AC-18(04) - Restrict Configurations by Users,"Identify and explicitly authorize users allowed to independently configure wireless networking capabilities. Guidance Organizational authorizations to allow selected users to configure wireless networking capabilities are enforced, in part, by the access enforcement mechanisms employed within organizational systems.",medium,functional,FedRAMP_R5_High_Unique AC-18(4) requires Identify and explicitly authorize users allowed to independently configure wireless networking capabilities. Guidance Organizational authorizations to allow selected users to co.... OneLeet_Controls EP.UWCD.V1 requires Wireless networking capabilities that are not required for essential business or mission functions must be disabled on all devices to minimize security risks. Necessary wireless.... Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Unnecessary wireless capabilities disabled,EP.UWCD.V1,"Wireless networking capabilities that are not required for essential business or mission functions must be disabled on all devices to minimize security risks. Necessary wireless features, such as Wi-Fi or Bluetooth, must be configured securely to prevent unauthorized access.","Overlap: access control. Divergence: FedRAMP_R5_High_Unique emphasizes users, ac-18, access; OneLeet_Controls emphasizes disabled, business, devices."
AC-18(5),AC-18(05) - Antennas and Transmission Power Levels,Select radio antennas and calibrate transmission power levels to reduce the probability that signals from wireless access points can be received outside of organization-controlled boundaries. Guidance Actions that may be taken to limit unauthorized use of wireless communications outside of organization-controlled boundaries include reducing the power of wireless transmissions so that the transmissions are less likely to emit a signal that can be captured outside of the physical perimeters of...,medium,functional,FedRAMP_R5_High_Unique AC-18(5) requires Select radio antennas and calibrate transmission power levels to reduce the probability that signals from wireless access points can be received outside of organization-controll.... OneLeet_Controls EP.WAPI.V1 requires Test for the presence of all Wi-Fi access points at least once every three months and use tools or methods that can detect both authorized and unauthorized access points. If pos.... Both address access control. FedRAMP_R5_High_Unique covers broader scope than OneLeet_Controls.,superset_of,6,Wireless access points identified and monitored,EP.WAPI.V1,"Test for the presence of all Wi-Fi access points at least once every three months and use tools or methods that can detect both authorized and unauthorized access points. If possible, use automated monitoring tools that can alert personnel when new access points are detected.Maintain an up-to-date list of all authorized wireless access points and document a business justification for each authorized access point. Regularly review and update this inventory.","Shared scope: access control. FedRAMP_R5_High_Unique additionally includes antennas, levels, power; OneLeet_Controls emphasizes authorized, both, detect."
AU-5(1),AU-05(01) - Storage Capacity Warning,"Provide a warning to {{ insert: param, AU-5(1)-1 }} within {{ insert: param, AU-5(1)-2 }} when allocated audit log storage volume reaches {{ insert: param, AU-5(1)-3 }} of repository maximum audit log storage capacity. Guidance Organizations may have multiple audit log storage repositories distributed across multiple system components with each repository having different storage volume capacities.",medium,functional,"FedRAMP_R5_High_Unique AU-5(1) requires Provide a warning to {{ insert: param, AU-5(1)-1 }} within {{ insert: param, AU-5(1)-2 }} when allocated audit log storage volume reaches {{ insert: param, AU-5(1)-3 }} of repos.... OneLeet_Controls MI.AALS.V1 requires Ensure sufficient storage capacity to retain audit logs for the required duration. Adequate audit log storage enables historical analysis and supports compliance requirements re.... Both address audit and monitoring. FedRAMP_R5_High_Unique covers broader scope than OneLeet_Controls.",superset_of,6,Adequate audit log storage maintained,MI.AALS.V1,Ensure sufficient storage capacity to retain audit logs for the required duration. Adequate audit log storage enables historical analysis and supports compliance requirements related to log retention.,"Shared scope: audit and monitoring. FedRAMP_R5_High_Unique additionally includes au-5, insert, param; OneLeet_Controls emphasizes adequate, duration, ensure."
AU-5(2),AU-05(02) - Real-time Alerts,"Provide an alert within {{ insert: param, AU-5(2)-1 }} to {{ insert: param, AU-5(2)-2 }} when the following audit failure events occur: {{ insert: param, AU-5(2)-3 }}. Guidance Alerts provide organizations with urgent messages. Real-time alerts provide these messages at information technology speed (i.e., the time from event detection to alert occurs in seconds or less).",medium,functional,"FedRAMP_R5_High_Unique AU-5(2) requires Provide an alert within {{ insert: param, AU-5(2)-1 }} to {{ insert: param, AU-5(2)-2 }} when the following audit failure events occur: {{ insert: param, AU-5(2)-3 }}. Guidance.... OneLeet_Controls MI.ALC.V1 requires Enable the collection of audit logs from critical systems and applications. Audit logs capture essential security events and activities, providing valuable information for incid.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Audit logs collected,MI.ALC.V1,"Enable the collection of audit logs from critical systems and applications. Audit logs capture essential security events and activities, providing valuable information for incident detection, investigation, and compliance purposes.","Overlap: incident response; audit and monitoring. Divergence: FedRAMP_R5_High_Unique emphasizes au-5, insert, param; OneLeet_Controls emphasizes logs, applications, collected."
AU-6(4),AU-06(04) - Central Review and Analysis,Provide and implement the capability to centrally review and analyze audit records from multiple components within the system. Guidance Automated mechanisms for centralized reviews and analyses include Security Information and Event Management products.,medium,functional,"FedRAMP_R5_High_Unique AU-6(4) requires Provide and implement the capability to centrally review and analyze audit records from multiple components within the system. Guidance Automated mechanisms for centralized revi.... OneLeet_Controls RM.TRAC.V1 requires Based on your risk assessment methodology developed in your ‘Risk Management Policy’, implement a more targeted risk analyses specifically considering the following points:- Eva.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Targeted risk analysis conducted,RM.TRAC.V1,"Based on your risk assessment methodology developed in your ‘Risk Management Policy’, implement a more targeted risk analyses specifically considering the following points:- Evaluate which system components are not at risk for malware- Frequency of periodic malware scans- Review application and system account access privileges- Frequency of password/passphrase changes for application and system accounts- Frequency of periodic log reviews for certain system components- Frequency of installing...","Overlap: access control; incident response; audit and monitoring. Divergence: FedRAMP_R5_High_Unique emphasizes audit, accountability, analyze; OneLeet_Controls emphasizes risk, frequency, application."
