FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,ASVS Requirement Title,Target ID #,ASVS Requirement Description,Notes
PO.1.1,"PO.1.1: Identify and document all security requirements for the organization’s software development infrastructures and processes, and maintain the requirements over time.","Examples Example 1: Define policies for securing software development infrastructures and their components, including development endpoints, throughout the SDLC and maintaining that security.",medium,functional,"SSDF PO.1.1 requires Examples Example 1: Define policies for securing software development infrastructures and their components, including development endpoints, throughout the SDLC and maintaining that security.. ASVS V1.5.1 requires Verify that input and output requirements clearly define how to handle and process data based on type, content, and applicable laws, regulations, and other policy compliance.. Both address architecture and design. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.5.1,"Verify that input and output requirements clearly define how to handle and process data based on type, content, and applicable laws, regulations, and other policy compliance.",Auto-mapped via lexical + theme scoring (score=0.283). Manual review recommended for production use.
PO.1.2,"PO.1.2: Identify and document all security requirements for organization-developed software to meet, and maintain the requirements over time.","Examples Example 1: Define policies that specify risk-based software architecture and design requirements, such as making code modular to facilitate code reuse and updates; isolating security components from other components during execution; avoiding undocume...",medium,functional,"SSDF PO.1.2 requires Examples Example 1: Define policies that specify risk-based software architecture and design requirements, such as making code modular to facilitate code reuse and updates; isolating security components from other components during execution; avoiding undocume.... ASVS V1.5.1 requires Verify that input and output requirements clearly define how to handle and process data based on type, content, and applicable laws, regulations, and other policy compliance.. Both address data protection and crypto. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.5.1,"Verify that input and output requirements clearly define how to handle and process data based on type, content, and applicable laws, regulations, and other policy compliance.",Auto-mapped via lexical + theme scoring (score=0.302). Manual review recommended for production use.
PO.1.3,PO.1.3: Communicate requirements to all third parties who will provide commercial software components to the organization for reuse by the organization’s own software. [Formerly PW.3.1],"Examples Example 1: Define a core set of security requirements for software components, and include it in acquisition documents, software contracts, and other agreements with third parties.",medium,functional,"SSDF PO.1.3 requires Examples Example 1: Define a core set of security requirements for software components, and include it in acquisition documents, software contracts, and other agreements with third parties.. ASVS V1.5.1 requires Verify that input and output requirements clearly define how to handle and process data based on type, content, and applicable laws, regulations, and other policy compliance.. Both address data protection and crypto. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.5.1,"Verify that input and output requirements clearly define how to handle and process data based on type, content, and applicable laws, regulations, and other policy compliance.",Auto-mapped via lexical + theme scoring (score=0.283). Manual review recommended for production use.
PO.2.1,"PO.2.1: Create new roles and alter responsibilities for existing roles as needed to encompass all parts of the SDLC. Periodically review and maintain the defined roles and responsibilities, updating them as needed.",Examples Example 1: Define SDLC-related roles and responsibilities for all members of the software development team.,medium,functional,"SSDF PO.2.1 requires Examples Example 1: Define SDLC-related roles and responsibilities for all members of the software development team.. ASVS V1.1.7 requires Verify availability of a secure coding checklist, security requirements, guideline, or policy to all developers and testers.. Both address governance and policy. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.1.7,"Verify availability of a secure coding checklist, security requirements, guideline, or policy to all developers and testers.",Auto-mapped via lexical + theme scoring (score=0.273). Manual review recommended for production use.
PO.2.2,"PO.2.2: Provide role-based training for all personnel with responsibilities that contribute to secure development. Periodically review personnel proficiency and role-based training, and update the training as needed.",Examples Example 1: Document the desired outcomes of training for each role.,medium,functional,"SSDF PO.2.2 requires Examples Example 1: Document the desired outcomes of training for each role.. ASVS V1.5.1 requires Verify that input and output requirements clearly define how to handle and process data based on type, content, and applicable laws, regulations, and other policy compliance.. Both address governance and policy. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.5.1,"Verify that input and output requirements clearly define how to handle and process data based on type, content, and applicable laws, regulations, and other policy compliance.",Auto-mapped via lexical + theme scoring (score=0.259). Manual review recommended for production use.
PO.2.3,"PO.2.3: Obtain upper management or authorizing official commitment to secure development, and convey that commitment to all with development-related roles and responsibilities.","Examples Example 1: Appoint a single leader or leadership team to be responsible for the entire secure software development process, including being accountable for releasing software to production and delegating responsibilities as appropriate.",medium,functional,"SSDF PO.2.3 requires Examples Example 1: Appoint a single leader or leadership team to be responsible for the entire secure software development process, including being accountable for releasing software to production and delegating responsibilities as appropriate.. ASVS V1.1.7 requires Verify availability of a secure coding checklist, security requirements, guideline, or policy to all developers and testers.. Both address governance and policy. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.1.7,"Verify availability of a secure coding checklist, security requirements, guideline, or policy to all developers and testers.",Auto-mapped via lexical + theme scoring (score=0.270). Manual review recommended for production use.
PO.3.1,"PO.3.1: Specify which tools or tool types must or should be included in each toolchain to mitigate identified risks, as well as how the toolchain components are to be integrated with each other.","Examples Example 1: Define categories of toolchains, and specify the mandatory tools or tool types to be used for each category.",medium,functional,"SSDF PO.3.1 requires Examples Example 1: Define categories of toolchains, and specify the mandatory tools or tool types to be used for each category.. ASVS V14.1.1 requires Verify that the application build and deployment processes are performed in a secure and repeatable way, such as CI / CD automation, automated configuration management, and automated deployment scripts.. Both address configuration and deployment. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V14 - Configuration,V14.1.1,"Verify that the application build and deployment processes are performed in a secure and repeatable way, such as CI / CD automation, automated configuration management, and automated deployment scripts.",Auto-mapped via lexical + theme scoring (score=0.286). Manual review recommended for production use.
PO.3.2,"PO.3.2: Follow recommended security practices to deploy, operate, and maintain tools and toolchains.","Examples Example 1: Evaluate, select, and acquire tools, and assess the security of each tool.",medium,functional,"SSDF PO.3.2 requires Examples Example 1: Evaluate, select, and acquire tools, and assess the security of each tool.. ASVS V14.1.1 requires Verify that the application build and deployment processes are performed in a secure and repeatable way, such as CI / CD automation, automated configuration management, and automated deployment scripts.. Both address configuration and deployment. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V14 - Configuration,V14.1.1,"Verify that the application build and deployment processes are performed in a secure and repeatable way, such as CI / CD automation, automated configuration management, and automated deployment scripts.",Auto-mapped via lexical + theme scoring (score=0.303). Manual review recommended for production use.
PO.3.3,PO.3.3: Configure tools to generate artifacts  of their support of secure software development practices as defined by the organization.,"Examples Example 1: Use existing tooling (e.g., workflow tracking, issue tracking, value stream mapping) to create an audit trail of the secure development-related actions that are performed for continuous improvement purposes.",medium,functional,"SSDF PO.3.3 requires Examples Example 1: Use existing tooling (e.g., workflow tracking, issue tracking, value stream mapping) to create an audit trail of the secure development-related actions that are performed for continuous improvement purposes.. ASVS V14.1.1 requires Verify that the application build and deployment processes are performed in a secure and repeatable way, such as CI / CD automation, automated configuration management, and automated deployment scripts.. Both address configuration and deployment. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V14 - Configuration,V14.1.1,"Verify that the application build and deployment processes are performed in a secure and repeatable way, such as CI / CD automation, automated configuration management, and automated deployment scripts.",Auto-mapped via lexical + theme scoring (score=0.291). Manual review recommended for production use.
PO.4.1,PO.4.1: Define criteria for software security checks and track throughout the SDLC.,Examples Example 1: Ensure that the criteria adequately indicate how effectively security risk is being managed.,medium,functional,"SSDF PO.4.1 requires Examples Example 1: Ensure that the criteria adequately indicate how effectively security risk is being managed.. ASVS V1.1.5 requires Verify definition and security analysis of the application's high-level architecture and all connected remote services.. Both address review and analysis. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.1.5,Verify definition and security analysis of the application's high-level architecture and all connected remote services.,Auto-mapped via lexical + theme scoring (score=0.273). Manual review recommended for production use.
