controlId,title,family,description,subFamily,enhancements
164.306(a),"Ensure Confidentiality, Integrity and Availability",GENERAL,"Description Ensure CIA and protect against threats Regulation (a) General requirements. Covered entities must do the following: (1) Ensure the confidentiality, integrity, and availability of all electronic protected health information the covered entity creates, receives, maintains, or transmits. (2) Protect against any reasonably anticipated threats or hazards to the security or integrity of such information. (3) Protect against any reasonably anticipated uses or disclosures of such information that are not permitted or required under subpart E of this part. (4) Ensure compliance with this subpart by its workforce.",164.306(a),
164.306(b),Flexibility of Approach,GENERAL,"Description Reasonably consider factors in security compliance Regulation (b) Flexibility of approach. (1) Covered entities may use any security measures that allow the covered entity to reasonably and appropriately implement the standards and implementation specifications as specified in this subpart. (2) In deciding which security measures to use, a covered entity must take into account the following factors: (i) The size, complexity, and capabilities of the covered entity. (ii) The covered entity's technical infrastructure, hardware, and software security capabilities. (iii) The costs of security measures. (iv) The probability and criticality of potential risks to electronic protected health information.",164.306(b),
164.306(c),Standards,GENERAL,"Description CEs must comply with standards Regulation (c) Standards. A covered entity must comply with the standards as provided in this section and in § 164.308, § 164.310, § 164.312, § 164.314, and § 164.316 with respect to all electronic protected health information.",164.306(c),
164.306(d),Implementation Specifications,GENERAL,"Description Required and Addressable Implementation Specification requirements Regulation (d) Implementation specifications. In this subpart: (1) Implementation specifications are required or addressable. If an implementation specification is required, the word ""Required"" appears in parentheses after the title of the implementation specification. If an implementation specification is addressable, the word ""Addressable"" appears in parentheses after the title of the implementation specification. (2) When a standard adopted in § 164.308, § 164.310, § 164.312, § 164.314, or § 164.316 includes required implementation specifications, a covered entity must implement the implementation specifications. (3) When a standard adopted in § 164.308, § 164.310, § 164.312, § 164.314, or § 164.316 includes addressable implementation specifications, a covered entity must-- (i) Assess whether each implementation specification is a reasonable and appropriate safeguard in its environment, when analyzed with reference to the likely contribution to protecting the entity's electronic protected health information; and (ii) As applicable to the entity-- (A) Implement the implementation specification if reasonable and appropriate; or (B) If implementing the implementation specification is not reasonable and appropriate-- (1) Document why it would not be reasonable and appropriate to implement the implementation specification; and (2) Implement an equivalent alternative measure if reasonable and appropriate.",164.306(d),
164.306(e),Maintenance,GENERAL,Description Ongoing review and modification of security measures Regulation (e) Maintenance. Security measures implemented to comply with standards and implementation specifications adopted under § 164.105 and this subpart must be reviewed and modified as needed to continue provision of reasonable and appropriate protection of electronic protected health information as described at § 164.316.,164.306(e),
164.308(a)(1)(i),Security Management Process,ADMINISTRATIVE SAFEGUARDS,"Description P&P to manage security violations Regulation Implement policies and procedures to prevent, detect, contain and correct security violations",164.308(a)(1)(i),
164.308(a)(1)(ii)(A),Risk Analysis,ADMINISTRATIVE SAFEGUARDS,"Description Conduct vulnerability assessment Regulation Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity.",164.308(a)(1)(ii)(A),Implementation: Required
164.308(a)(1)(ii)(B),Risk Management,ADMINISTRATIVE SAFEGUARDS,Description Implement security measures to reduce risk of security breaches Regulation Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with Sec 164.206(a).,164.308(a)(1)(ii)(B),Implementation: Required
164.308(a)(1)(ii)(C),Sanction Policy,ADMINISTRATIVE SAFEGUARDS,Description Worker sanction for P&P violations Regulation Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity.,164.308(a)(1)(ii)(C),Implementation: Required
164.308(a)(1)(ii)(D),Information System Activity Review,ADMINISTRATIVE SAFEGUARDS,"Description Procedures to review system activity Regulation Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.",164.308(a)(1)(ii)(D),Implementation: Required
164.308(a)(2),Assigned Security Responsibility,ADMINISTRATIVE SAFEGUARDS,Description Identify security official responsible for P&P Regulation Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for the entity.,164.308(a)(2),
164.308(a)(3)(i),Workforce Security,ADMINISTRATIVE SAFEGUARDS,"Description Implement P&P to ensure appropriate PHI access Regulation Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a))(4) of this section from obtaining access to electronic protected health information.",164.308(a)(3)(i),
164.308(a)(3)(ii)(A),Authorization and/or Supervision,ADMINISTRATIVE SAFEGUARDS,Description Authorization/supervision for PHI access Regulation Implement procedures for authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.,164.308(a)(3)(ii)(A),Implementation: Addressable
164.308(a)(3)(ii)(B),Workforce Clearance Procedure,ADMINISTRATIVE SAFEGUARDS,Description Procedures to ensure appropriate PHI access Regulation Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.,164.308(a)(3)(ii)(B),Implementation: Addressable
164.308(a)(3)(ii)(C),Termination Procedures,ADMINISTRATIVE SAFEGUARDS,Description Procedures to terminate PHI access Regulation Implement procedures for termination access to electronic protected health information when the employment of a workforce member ends or as required by determination made as specified in paragraph (a)(3)(ii)(B) of this section.,164.308(a)(3)(ii)(C),Implementation: Addressable
164.308(a)(4)(i),Information Access Management,ADMINISTRATIVE SAFEGUARDS,Description P&P to authorize access to PHI Regulation Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,164.308(a)(4)(i),
164.308(a)(4)(ii)(A),Isolation Health Clearinghouse Functions,ADMINISTRATIVE SAFEGUARDS,"Description P&P to separate PHI from other operations Regulation If a health care clearinghouse is part of a larger organization, the clearinghouse must implement polices and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.",164.308(a)(4)(ii)(A),Implementation: Required
164.308(a)(4)(ii)(B),Access Authorization,ADMINISTRATIVE SAFEGUARDS,"Description P&P to authorize access to PHI Regulation Implement policies and procedures for granting access to electronic protected health information, for example, through access to a workstation, transaction, program, process or other mechanism.",164.308(a)(4)(ii)(B),Implementation: Addressable
164.308(a)(4)(ii)(C),Access Establishment and Modification,ADMINISTRATIVE SAFEGUARDS,"Description P&P to grant access to PHI Regulation Implement policies and procedures that, based upon the entity's access authorization policies, establish, document, review, and modify a user's right of access to a workstation, transaction, program, or process.",164.308(a)(4)(ii)(C),Implementation: Addressable
164.308(a)(5)(i),Security Awareness Training,ADMINISTRATIVE SAFEGUARDS,Description Training program for workers and managers Regulation Implement a security awareness and training program for all members of its workforce (including management).,164.308(a)(5)(i),
