FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet Controls Requirement Title,Target ID #,OneLeet Controls Requirement Description,Notes
AC-1,AC-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. access control policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the access control policy and the associated access controls; b. Designate an to manage the development, do...",medium,functional,"FedRAMP v5 Low AC-1 requires a. Develop, document, and disseminate to : 1. access control policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organi.... OneLeet Controls OS.WUAS.V1 requires Establish a workstation use and security policy that outlines the appropriate use of workstations and security measures to protect them from unauthorized access. The policy help.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Workstation use and security policy established,OS.WUAS.V1,Establish a workstation use and security policy that outlines the appropriate use of workstations and security measures to protect them from unauthorized access. The policy helps safeguard the organization's assets and data.,"Overlap: access control; governance and policy. Divergence: FedRAMP v5 Low emphasizes ac-01, procedures; OneLeet Controls emphasizes workstation, appropriate, establish."
AC-2,AC-02 - Account Management,"a. Define and document the types of accounts allowed and specifically prohibited for use within the system; b. Assign account managers; c. Require for group and role membership; d. Specify: 1. Authorized users of the system; 2. Group and role membership; and 3. Access authorizations (i.e., privileges) and for each account; e. Require approvals by for requests to create accounts; f. Create, enable, modify, disable, and remove accounts in accordance with ; g. Monitor the use of accounts; h. Not...",medium,functional,"FedRAMP v5 Low AC-2 requires a. Define and document the types of accounts allowed and specifically prohibited for use within the system; b. Assign account managers; c. Require for group and role membership;.... OneLeet Controls MI.LMU.V1 requires Implement a centralized log management solution to collect, store, and analyze logs from various systems and applications. Centralized log management simplifies log review, corr.... Both address incident response. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Log management used,MI.LMU.V1,"Implement a centralized log management solution to collect, store, and analyze logs from various systems and applications. Centralized log management simplifies log review, correlation, and monitoring for potential security incidents.","Shared scope: incident response; audit and monitoring. FedRAMP v5 Low additionally includes ac-02, access, account; OneLeet Controls emphasizes log, analyze, applications."
AC-3,AC-03 - Access Enforcement,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies. Guidance Access control policies control access between active entities or subjects (i.e., users or processes acting on behalf of users) and passive entities or objects (i.e., devices, files, records, domains) in organizational systems. In addition to enforcing authorized access at the system level and recognizing that systems can host many applications...",medium,functional,FedRAMP v5 Low AC-3 requires Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies. Guidance Access control policies co.... OneLeet Controls AC.AC.V1 requires Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requireme.... Both address access control. The requirements are materially equivalent in scope and intent.,equal,9,Access control,AC.AC.V1,Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.,Shared scope: access control; audit and monitoring. No material divergence detected.
AC-7,AC-07 - Unsuccessful Logon Attempts,"a. Enforce a limit of consecutive invalid logon attempts by a user during a ; and b. Automatically when the maximum number of unsuccessful attempts is exceeded. Guidance The need to limit unsuccessful logon attempts and take subsequent action when the maximum number of attempts is exceeded applies regardless of whether the logon occurs via a local or network connection. Due to the potential for denial of service, automatic lockouts initiated by systems are usually temporary and automatically...",medium,functional,FedRAMP v5 Low AC-7 requires a. Enforce a limit of consecutive invalid logon attempts by a user during a ; and b. Automatically when the maximum number of unsuccessful attempts is exceeded. Guidance The nee.... OneLeet Controls OS.PSM.V1 requires Premises shall be continuously monitored for unauthorized physical access.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Physical security monitoring,OS.PSM.V1,Premises shall be continuously monitored for unauthorized physical access.,"Shared scope: access control; audit and monitoring. FedRAMP v5 Low additionally includes ac-07, attempts, logon; OneLeet Controls emphasizes physical, continuously, monitored."
AC-8,AC-08 - System Use Notification,"a. Display to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that: 1. Users are accessing a U.S. Government system; 2. System usage may be monitored, recorded, and subject to audit; 3. Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and 4. Use of the system indicates consent to monitoring and...",high,functional,"FedRAMP v5 Low AC-8 requires a. Display to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, p.... OneLeet Controls DM.SUNM.V1 requires Implement and maintain a system use notification message that includes privacy and security notices and must be displayed and acknowledged before granting access to any system a.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,7,System use notification mechanisms established,DM.SUNM.V1,Implement and maintain a system use notification message that includes privacy and security notices and must be displayed and acknowledged before granting access to any system accessing sensitive data.,"Shared scope: access control; incident response; data protection. FedRAMP v5 Low additionally includes ac-08; OneLeet Controls emphasizes data, accessing, acknowledged."
AC-14,AC-14 - Permitted Actions Without Identification or Authentication,"a. Identify that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and b. Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication. Guidance Specific user actions may be permitted without identification or authentication if organizations determine that identification and authentication are not required for the specified user act...",medium,functional,FedRAMP v5 Low AC-14 requires a. Identify that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and b. Document and provi.... OneLeet Controls AC.SA.V1 requires Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Secure authentication,AC.SA.V1,Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.,"Shared scope: access control; audit and monitoring. FedRAMP v5 Low additionally includes ac-14, actions, identification; OneLeet Controls emphasizes secure, authorization, based."
AC-17,AC-17 - Remote Access,"a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and b. Authorize each type of remote access to the system prior to allowing such connections. Guidance Remote access is access to organizational systems (or processes acting on behalf of users) that communicate through external networks such as the Internet. Types of remote access include dial-up, broadband, and wireless. Organizations use en...",medium,functional,"FedRAMP v5 Low AC-17 requires a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and b. Authorize each ty.... OneLeet Controls AC.AC.V1 requires Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requireme.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Access control,AC.AC.V1,Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.,"Shared scope: access control; audit and monitoring. FedRAMP v5 Low additionally includes ac-17, remote; OneLeet Controls emphasizes assets, associated, authorization."
AC-18,AC-18 - Wireless Access,"a. Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and b. Authorize each type of wireless access to the system prior to allowing such connections. Guidance Wireless technologies include microwave, packet radio (ultra-high frequency or very high frequency), 802.11x, and Bluetooth. Wireless networks use authentication protocols that provide authenticator protection and mutual authentication.",medium,functional,"FedRAMP v5 Low AC-18 requires a. Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and b. Authorize each type of wireless access to.... OneLeet Controls EP.WAPI.V1 requires Test for the presence of all Wi-Fi access points at least once every three months and use tools or methods that can detect both authorized and unauthorized access points. If pos.... Both address access control. The requirements are materially equivalent in scope and intent.",equal,9,Wireless access points identified and monitored,EP.WAPI.V1,"Test for the presence of all Wi-Fi access points at least once every three months and use tools or methods that can detect both authorized and unauthorized access points. If possible, use automated monitoring tools that can alert personnel when new access points are detected.Maintain an up-to-date list of all authorized wireless access points and document a business justification for each authorized access point. Regularly review and update this inventory.",Shared scope: access control; audit and monitoring. No material divergence detected.
AC-19,AC-19 - Access Control for Mobile Devices,"a. Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and b. Authorize the connection of mobile devices to organizational systems. Guidance A mobile device is a computing device that has a small form factor such that it can easily be carried by a single individual; is designed to operate without a physical connection; possesses local, non-removable...",medium,functional,"FedRAMP v5 Low AC-19 requires a. Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outsid.... OneLeet Controls AC.IAR.V1 requires Access to information and other associated assets shall be restricted in accordance with the established topic-specific policy on access control.. Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Information access restriction,AC.IAR.V1,Access to information and other associated assets shall be restricted in accordance with the established topic-specific policy on access control.,"Shared scope: access control; governance and policy. FedRAMP v5 Low additionally includes ac-19, devices, mobile; OneLeet Controls emphasizes accordance, assets, associated."
AC-20,AC-20 - Use of External Systems,"a. , consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to: 1. Access the system from external systems; and 2. Process, store, or transmit organization-controlled information using external systems; or b. Prohibit the use of . Guidance External systems are systems that are used by but not part of organizational systems, and for which the organization has no direct control over the...",medium,functional,"FedRAMP v5 Low AC-20 requires a. , consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to: 1..... OneLeet Controls DM.EPIM.V1 requires Establish and maintain a system for handling all privacy-related inquiries, including general questions, complaints, disputes, and specific requests for personal information acc.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,External privacy inquiries managed,DM.EPIM.V1,"Establish and maintain a system for handling all privacy-related inquiries, including general questions, complaints, disputes, and specific requests for personal information access and correction.","Shared scope: access control. FedRAMP v5 Low additionally includes ac-20; OneLeet Controls emphasizes inquiries, complaints, correction."
